1 []
2 []
3 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=793,', 'Bottom=475'], ['truck: 91%', 'Left=141,', 'Top=219,', 'Right=474,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=291,', 'Right=126,', 'Bottom=491']]
27 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=474,', 'Bottom=433'], ['car: 86%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
28 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=146,', 'Top=227,', 'Right=475,', 'Bottom=432'], ['car: 86%', 'Left=0,', 'Top=289,', 'Right=126,', 'Bottom=492']]
29 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=475,', 'Bottom=433'], ['car: 85%', 'Left=0,', 'Top=288,', 'Right=126,', 'Bottom=492']]
30 [['car: 99%', 'Left=543,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=475,', 'Bottom=433'], ['car: 85%', 'Left=0,', 'Top=289,', 'Right=126,', 'Bottom=492']]
31 [['car: 99%', 'Left=543,', 'Top=298,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=474,', 'Bottom=433'], ['car: 84%', 'Left=0,', 'Top=289,', 'Right=127,', 'Bottom=492']]
32 [['car: 99%', 'Left=543,', 'Top=298,', 'Right=806,', 'Bottom=498'], ['truck: 94%', 'Left=145,', 'Top=226,', 'Right=475,', 'Bottom=433'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=492']]
33 [['car: 99%', 'Left=543,', 'Top=298,', 'Right=807,', 'Bottom=498'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=475,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
34 [['car: 99%', 'Left=543,', 'Top=298,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=146,', 'Top=226,', 'Right=476,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
35 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=147,', 'Top=226,', 'Right=476,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
36 [['car: 99%', 'Left=546,', 'Top=295,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=147,', 'Top=227,', 'Right=475,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
37 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=792,', 'Bottom=479'], ['truck: 93%', 'Left=147,', 'Top=227,', 'Right=475,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
38 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=792,', 'Bottom=479'], ['truck: 92%', 'Left=148,', 'Top=227,', 'Right=474,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491'], ['car: 56%', 'Left=486,', 'Top=351,', 'Right=531,', 'Bottom=386']]
39 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=791,', 'Bottom=479'], ['truck: 92%', 'Left=149,', 'Top=226,', 'Right=473,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
40 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=790,', 'Bottom=479'], ['truck: 92%', 'Left=149,', 'Top=227,', 'Right=473,', 'Bottom=435'], ['car: 78%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491'], ['car: 76%', 'Left=494,', 'Top=352,', 'Right=558,', 'Bottom=385']]
41 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=790,', 'Bottom=478'], ['truck: 92%', 'Left=149,', 'Top=227,', 'Right=473,', 'Bottom=434'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491'], ['car: 64%', 'Left=503,', 'Top=353,', 'Right=556,', 'Bottom=384']]
42 [['car: 99%', 'Left=546,', 'Top=295,', 'Right=804,', 'Bottom=500'], ['truck: 93%', 'Left=148,', 'Top=228,', 'Right=475,', 'Bottom=434'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491'], ['car: 51%', 'Left=514,', 'Top=352,', 'Right=554,', 'Bottom=383']]
43 [['car: 99%', 'Left=545,', 'Top=295,', 'Right=803,', 'Bottom=501'], ['truck: 94%', 'Left=147,', 'Top=227,', 'Right=475,', 'Bottom=434'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
44 [['car: 99%', 'Left=543,', 'Top=295,', 'Right=803,', 'Bottom=500'], ['truck: 94%', 'Left=146,', 'Top=227,', 'Right=476,', 'Bottom=434'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
45 [['car: 99%', 'Left=544,', 'Top=295,', 'Right=802,', 'Bottom=500'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=476,', 'Bottom=433'], ['car: 78%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
46 [['car: 99%', 'Left=544,', 'Top=296,', 'Right=803,', 'Bottom=499'], ['truck: 93%', 'Left=144,', 'Top=225,', 'Right=475,', 'Bottom=433'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
47 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=803,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=475,', 'Bottom=433'], ['car: 78%', 'Left=2,', 'Top=289,', 'Right=125,', 'Bottom=491']]
48 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=803,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=474,', 'Bottom=433'], ['car: 78%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
49 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=803,', 'Bottom=500'], ['truck: 93%', 'Left=144,', 'Top=226,', 'Right=474,', 'Bottom=433'], ['car: 78%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
50 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=803,', 'Bottom=500'], ['truck: 93%', 'Left=143,', 'Top=226,', 'Right=473,', 'Bottom=433'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
51 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=474'], ['truck: 93%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=433'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
52 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=794,', 'Bottom=474'], ['truck: 93%', 'Left=143,', 'Top=224,', 'Right=475,', 'Bottom=434'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=493']]
53 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=794,', 'Bottom=475'], ['truck: 93%', 'Left=144,', 'Top=223,', 'Right=475,', 'Bottom=434'], ['car: 85%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=493']]
54 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=476'], ['truck: 93%', 'Left=145,', 'Top=223,', 'Right=474,', 'Bottom=434'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=493']]
55 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=794,', 'Bottom=477'], ['truck: 93%', 'Left=146,', 'Top=224,', 'Right=474,', 'Bottom=433'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=493']]
56 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=478'], ['truck: 93%', 'Left=146,', 'Top=224,', 'Right=473,', 'Bottom=433'], ['car: 83%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
57 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=478'], ['truck: 93%', 'Left=146,', 'Top=224,', 'Right=473,', 'Bottom=432'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
58 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=478'], ['truck: 93%', 'Left=145,', 'Top=223,', 'Right=472,', 'Bottom=432'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
59 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=478'], ['truck: 93%', 'Left=144,', 'Top=223,', 'Right=472,', 'Bottom=432'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
60 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=477'], ['truck: 92%', 'Left=145,', 'Top=224,', 'Right=471,', 'Bottom=432'], ['car: 82%', 'Left=0,', 'Top=288,', 'Right=127,', 'Bottom=492']]
61 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=477'], ['truck: 93%', 'Left=144,', 'Top=224,', 'Right=471,', 'Bottom=432'], ['car: 83%', 'Left=0,', 'Top=287,', 'Right=127,', 'Bottom=492']]
62 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=476'], ['truck: 93%', 'Left=145,', 'Top=224,', 'Right=471,', 'Bottom=432'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
63 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=476'], ['truck: 93%', 'Left=146,', 'Top=223,', 'Right=472,', 'Bottom=432'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
64 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=475'], ['truck: 93%', 'Left=147,', 'Top=223,', 'Right=473,', 'Bottom=433'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
65 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=475'], ['truck: 93%', 'Left=148,', 'Top=224,', 'Right=474,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
66 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=474'], ['truck: 95%', 'Left=147,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
67 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=795,', 'Bottom=475'], ['truck: 95%', 'Left=147,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
68 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=795,', 'Bottom=475'], ['truck: 95%', 'Left=146,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
69 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=476'], ['truck: 95%', 'Left=145,', 'Top=224,', 'Right=476,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
70 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=476'], ['truck: 95%', 'Left=144,', 'Top=224,', 'Right=476,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
71 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=476'], ['truck: 94%', 'Left=143,', 'Top=224,', 'Right=475,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
72 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=143,', 'Top=224,', 'Right=475,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
73 [['car: 99%', 'Left=545,', 'Top=295,', 'Right=807,', 'Bottom=501'], ['truck: 94%', 'Left=144,', 'Top=225,', 'Right=474,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
74 [['car: 99%', 'Left=546,', 'Top=295,', 'Right=807,', 'Bottom=501'], ['truck: 94%', 'Left=144,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
75 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=145,', 'Top=226,', 'Right=476,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
76 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=146,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
77 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=147,', 'Top=225,', 'Right=473,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
78 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=477'], ['truck: 93%', 'Left=147,', 'Top=224,', 'Right=472,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
79 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=476'], ['truck: 94%', 'Left=146,', 'Top=223,', 'Right=472,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
80 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=476'], ['truck: 94%', 'Left=144,', 'Top=222,', 'Right=473,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
81 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=476'], ['truck: 94%', 'Left=143,', 'Top=221,', 'Right=474,', 'Bottom=434'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
82 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=477'], ['truck: 94%', 'Left=142,', 'Top=220,', 'Right=475,', 'Bottom=434'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
83 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=477'], ['truck: 94%', 'Left=142,', 'Top=220,', 'Right=476,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
84 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=143,', 'Top=220,', 'Right=476,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
85 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=143,', 'Top=221,', 'Right=476,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
86 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=144,', 'Top=222,', 'Right=475,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
87 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=793,', 'Bottom=477'], ['truck: 94%', 'Left=146,', 'Top=222,', 'Right=474,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
88 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=148,', 'Top=222,', 'Right=472,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
89 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=148,', 'Top=222,', 'Right=471,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
90 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=479'], ['truck: 92%', 'Left=148,', 'Top=222,', 'Right=471,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
91 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=479'], ['truck: 93%', 'Left=147,', 'Top=222,', 'Right=472,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
92 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=793,', 'Bottom=479'], ['truck: 93%', 'Left=146,', 'Top=222,', 'Right=473,', 'Bottom=437'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
93 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=146,', 'Top=221,', 'Right=474,', 'Bottom=437'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
94 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=477'], ['truck: 94%', 'Left=145,', 'Top=221,', 'Right=474,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
95 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=478'], ['truck: 94%', 'Left=145,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
96 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=478'], ['truck: 94%', 'Left=145,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
97 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=477'], ['truck: 93%', 'Left=146,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
98 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=146,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
99 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=145,', 'Top=220,', 'Right=474,', 'Bottom=436'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
100 [['car: 99%', 'Left=546,', 'Top=299,', 'Right=806,', 'Bottom=499'], ['truck: 93%', 'Left=144,', 'Top=221,', 'Right=474,', 'Bottom=436'], ['car: 78%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
