1 []
2 []
3 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=145,', 'Top=231,', 'Right=474,', 'Bottom=434'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
35 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=791,', 'Bottom=476'], ['truck: 91%', 'Left=146,', 'Top=227,', 'Right=469,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
36 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=790,', 'Bottom=476'], ['truck: 92%', 'Left=146,', 'Top=227,', 'Right=470,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
37 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=146,', 'Top=228,', 'Right=471,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
38 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=790,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=472,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
39 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=789,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=472,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
40 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=789,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=473,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
41 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=789,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=473,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
42 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=476'], ['truck: 92%', 'Left=145,', 'Top=226,', 'Right=473,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
43 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=146,', 'Top=226,', 'Right=472,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
44 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=147,', 'Top=226,', 'Right=472,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
45 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=147,', 'Top=227,', 'Right=472,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
46 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=146,', 'Top=227,', 'Right=472,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
47 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=805,', 'Bottom=500'], ['truck: 93%', 'Left=146,', 'Top=226,', 'Right=472,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
48 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=147,', 'Top=226,', 'Right=472,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
49 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=226,', 'Right=472,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
50 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=225,', 'Right=472,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
51 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=806,', 'Bottom=501'], ['truck: 94%', 'Left=148,', 'Top=225,', 'Right=472,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
52 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=806,', 'Bottom=501'], ['truck: 94%', 'Left=148,', 'Top=225,', 'Right=472,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
53 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=501'], ['truck: 94%', 'Left=148,', 'Top=226,', 'Right=473,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
54 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=225,', 'Right=474,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
55 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=225,', 'Right=474,', 'Bottom=435'], ['car: 82%', 'Left=0,', 'Top=288,', 'Right=126,', 'Bottom=492']]
56 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=224,', 'Right=474,', 'Bottom=436'], ['car: 82%', 'Left=0,', 'Top=288,', 'Right=126,', 'Bottom=492']]
57 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=148,', 'Top=224,', 'Right=474,', 'Bottom=437'], ['car: 81%', 'Left=0,', 'Top=288,', 'Right=126,', 'Bottom=492']]
58 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=149,', 'Top=225,', 'Right=474,', 'Bottom=437'], ['car: 81%', 'Left=0,', 'Top=287,', 'Right=126,', 'Bottom=492']]
59 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=149,', 'Top=225,', 'Right=474,', 'Bottom=437'], ['car: 81%', 'Left=0,', 'Top=287,', 'Right=126,', 'Bottom=492']]
60 [['car: 99%', 'Left=545,', 'Top=295,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=149,', 'Top=225,', 'Right=474,', 'Bottom=436'], ['car: 82%', 'Left=0,', 'Top=287,', 'Right=126,', 'Bottom=492']]
61 [['car: 99%', 'Left=545,', 'Top=294,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=149,', 'Top=225,', 'Right=473,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
62 [['car: 99%', 'Left=546,', 'Top=294,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=149,', 'Top=224,', 'Right=472,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
63 [['car: 99%', 'Left=546,', 'Top=295,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=149,', 'Top=224,', 'Right=473,', 'Bottom=437'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
64 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=806,', 'Bottom=500'], ['truck: 95%', 'Left=149,', 'Top=223,', 'Right=474,', 'Bottom=437'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
65 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=148,', 'Top=223,', 'Right=475,', 'Bottom=437'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
66 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=147,', 'Top=223,', 'Right=475,', 'Bottom=437'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
67 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=145,', 'Top=224,', 'Right=475,', 'Bottom=437'], ['car: 81%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
68 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=144,', 'Top=224,', 'Right=475,', 'Bottom=437'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
69 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=145,', 'Top=226,', 'Right=474,', 'Bottom=437'], ['car: 82%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
70 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=144,', 'Top=227,', 'Right=473,', 'Bottom=437'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
71 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=144,', 'Top=228,', 'Right=473,', 'Bottom=437'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
72 [['car: 99%', 'Left=544,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=145,', 'Top=228,', 'Right=473,', 'Bottom=437'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
73 [['car: 99%', 'Left=544,', 'Top=296,', 'Right=807,', 'Bottom=499'], ['truck: 94%', 'Left=145,', 'Top=227,', 'Right=471,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
74 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=227,', 'Right=471,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
75 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=471,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
76 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=226,', 'Right=471,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
77 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=471,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
78 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=471,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
79 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=499'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=471,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
80 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=499'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=471,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
81 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=472,', 'Bottom=436'], ['car: 85%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=491']]
82 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 92%', 'Left=144,', 'Top=225,', 'Right=471,', 'Bottom=436'], ['car: 85%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
83 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=807,', 'Bottom=498'], ['truck: 92%', 'Left=144,', 'Top=225,', 'Right=471,', 'Bottom=437'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
84 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=807,', 'Bottom=498'], ['truck: 92%', 'Left=144,', 'Top=225,', 'Right=471,', 'Bottom=437'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
85 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 93%', 'Left=144,', 'Top=226,', 'Right=472,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
86 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=792,', 'Bottom=482'], ['truck: 94%', 'Left=144,', 'Top=226,', 'Right=473,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=491']]
87 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 94%', 'Left=143,', 'Top=227,', 'Right=473,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
88 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=808,', 'Bottom=498'], ['truck: 94%', 'Left=142,', 'Top=227,', 'Right=474,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
89 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=808,', 'Bottom=498'], ['truck: 94%', 'Left=142,', 'Top=227,', 'Right=474,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
90 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=808,', 'Bottom=498'], ['truck: 94%', 'Left=142,', 'Top=227,', 'Right=475,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
91 [['car: 99%', 'Left=547,', 'Top=297,', 'Right=808,', 'Bottom=498'], ['truck: 95%', 'Left=143,', 'Top=227,', 'Right=475,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
92 [['car: 99%', 'Left=547,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 94%', 'Left=143,', 'Top=227,', 'Right=475,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
93 [['car: 99%', 'Left=547,', 'Top=297,', 'Right=807,', 'Bottom=499'], ['truck: 95%', 'Left=143,', 'Top=227,', 'Right=475,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
94 [['car: 99%', 'Left=547,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 94%', 'Left=144,', 'Top=227,', 'Right=475,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
95 [['car: 99%', 'Left=547,', 'Top=298,', 'Right=807,', 'Bottom=498'], ['truck: 95%', 'Left=143,', 'Top=227,', 'Right=475,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
96 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 95%', 'Left=142,', 'Top=227,', 'Right=476,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
97 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 95%', 'Left=141,', 'Top=227,', 'Right=477,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
98 [['car: 99%', 'Left=545,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 95%', 'Left=141,', 'Top=228,', 'Right=477,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
99 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=808,', 'Bottom=498'], ['truck: 95%', 'Left=141,', 'Top=229,', 'Right=478,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
100 [['car: 99%', 'Left=546,', 'Top=298,', 'Right=808,', 'Bottom=499'], ['truck: 95%', 'Left=141,', 'Top=229,', 'Right=477,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=290,', 'Right=125,', 'Bottom=491']]
