1 []
2 []
3 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=682'], ['person: 68%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 52%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
14 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1258,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
15 [['car: 82%', 'Left=0,', 'Top=485,', 'Right=1260,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
16 [['car: 82%', 'Left=0,', 'Top=485,', 'Right=1261,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
17 [['car: 82%', 'Left=0,', 'Top=484,', 'Right=1260,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
18 [['car: 82%', 'Left=0,', 'Top=492,', 'Right=1179,', 'Bottom=671'], ['person: 63%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
19 [['car: 83%', 'Left=0,', 'Top=491,', 'Right=1179,', 'Bottom=671'], ['person: 63%', 'Left=732,', 'Top=231,', 'Right=753,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
20 [['car: 81%', 'Left=0,', 'Top=491,', 'Right=1178,', 'Bottom=671'], ['person: 64%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=293']]
21 [['car: 79%', 'Left=0,', 'Top=491,', 'Right=1178,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 57%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=293']]
22 [['car: 77%', 'Left=0,', 'Top=491,', 'Right=1177,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
23 [['car: 78%', 'Left=0,', 'Top=491,', 'Right=1176,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
24 [['car: 78%', 'Left=0,', 'Top=491,', 'Right=1175,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
25 [['car: 78%', 'Left=0,', 'Top=492,', 'Right=1175,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
26 [['car: 79%', 'Left=0,', 'Top=492,', 'Right=1175,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
27 [['car: 79%', 'Left=0,', 'Top=493,', 'Right=1175,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
28 [['car: 78%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
29 [['car: 78%', 'Left=0,', 'Top=493,', 'Right=1173,', 'Bottom=671'], ['person: 64%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
30 [['car: 79%', 'Left=0,', 'Top=493,', 'Right=1172,', 'Bottom=671'], ['person: 63%', 'Left=733,', 'Top=232,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
31 [['car: 79%', 'Left=0,', 'Top=493,', 'Right=1171,', 'Bottom=671'], ['person: 63%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 57%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
32 [['car: 79%', 'Left=0,', 'Top=494,', 'Right=1173,', 'Bottom=672'], ['person: 62%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 57%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
33 [['car: 79%', 'Left=0,', 'Top=494,', 'Right=1175,', 'Bottom=672'], ['person: 62%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
34 [['car: 80%', 'Left=0,', 'Top=485,', 'Right=1259,', 'Bottom=683'], ['person: 62%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
35 [['car: 80%', 'Left=0,', 'Top=484,', 'Right=1260,', 'Bottom=683'], ['person: 63%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
36 [['car: 81%', 'Left=0,', 'Top=493,', 'Right=1179,', 'Bottom=672'], ['person: 64%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
37 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1178,', 'Bottom=672'], ['person: 64%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
38 [['car: 83%', 'Left=0,', 'Top=493,', 'Right=1176,', 'Bottom=672'], ['person: 65%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
39 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
40 [['car: 81%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
41 [['car: 81%', 'Left=0,', 'Top=493,', 'Right=1173,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
42 [['car: 81%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
43 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=233,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
44 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 68%', 'Left=733,', 'Top=231,', 'Right=753,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
45 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1173,', 'Bottom=672'], ['person: 70%', 'Left=732,', 'Top=230,', 'Right=753,', 'Bottom=270'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
46 [['person: 73%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['car: 82%', 'Left=0,', 'Top=493,', 'Right=1172,', 'Bottom=672'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
47 [['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=493,', 'Right=1171,', 'Bottom=672'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
48 [['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
49 [['person: 72%', 'Left=732,', 'Top=228,', 'Right=753,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
50 [['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
51 [['car: 82%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['person: 54%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
52 [['car: 82%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['person: 53%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
53 [['car: 83%', 'Left=0,', 'Top=492,', 'Right=1170,', 'Bottom=672'], ['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['person: 53%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
54 [['car: 83%', 'Left=0,', 'Top=492,', 'Right=1171,', 'Bottom=672'], ['person: 72%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=269'], ['person: 53%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
55 [['car: 83%', 'Left=0,', 'Top=493,', 'Right=1172,', 'Bottom=672'], ['person: 73%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=269'], ['person: 53%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
56 [['car: 83%', 'Left=0,', 'Top=493,', 'Right=1175,', 'Bottom=672'], ['person: 73%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=269'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
57 [['car: 84%', 'Left=0,', 'Top=493,', 'Right=1177,', 'Bottom=672'], ['person: 73%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=269'], ['person: 58%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
58 [['car: 84%', 'Left=0,', 'Top=493,', 'Right=1178,', 'Bottom=672'], ['person: 72%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=269'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
59 [['car: 85%', 'Left=0,', 'Top=485,', 'Right=1264,', 'Bottom=683'], ['person: 71%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
60 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1263,', 'Bottom=684'], ['person: 70%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 61%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
61 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1263,', 'Bottom=684'], ['person: 70%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 61%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
62 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1263,', 'Bottom=684'], ['person: 70%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
63 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1263,', 'Bottom=684'], ['person: 69%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
64 [['car: 83%', 'Left=0,', 'Top=486,', 'Right=1263,', 'Bottom=684'], ['person: 69%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
65 [['car: 83%', 'Left=0,', 'Top=486,', 'Right=1264,', 'Bottom=684'], ['person: 68%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
66 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1264,', 'Bottom=683'], ['person: 67%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 61%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
67 [['car: 81%', 'Left=0,', 'Top=485,', 'Right=1264,', 'Bottom=684'], ['person: 67%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
68 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=672'], ['person: 67%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=256,', 'Right=483,', 'Bottom=292']]
69 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1173,', 'Bottom=672'], ['person: 67%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
70 [['car: 83%', 'Left=0,', 'Top=493,', 'Right=1172,', 'Bottom=672'], ['person: 67%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
71 [['car: 83%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 67%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
72 [['car: 84%', 'Left=0,', 'Top=493,', 'Right=1175,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
73 [['car: 84%', 'Left=0,', 'Top=493,', 'Right=1174,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
74 [['car: 83%', 'Left=0,', 'Top=494,', 'Right=1175,', 'Bottom=671'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
75 [['car: 82%', 'Left=0,', 'Top=494,', 'Right=1176,', 'Bottom=671'], ['person: 65%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
76 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1179,', 'Bottom=671'], ['person: 63%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 65%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
77 [['car: 82%', 'Left=0,', 'Top=493,', 'Right=1180,', 'Bottom=671'], ['person: 61%', 'Left=733,', 'Top=231,', 'Right=754,', 'Bottom=269'], ['person: 66%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
78 [['car: 82%', 'Left=0,', 'Top=492,', 'Right=1181,', 'Bottom=671'], ['person: 63%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=269'], ['person: 67%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
79 [['car: 82%', 'Left=0,', 'Top=491,', 'Right=1180,', 'Bottom=671'], ['person: 66%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 67%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
80 [['car: 82%', 'Left=778,', 'Top=235,', 'Right=833,', 'Bottom=281'], ['car: 82%', 'Left=0,', 'Top=491,', 'Right=1178,', 'Bottom=672'], ['person: 68%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 67%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
81 [['car: 82%', 'Left=0,', 'Top=491,', 'Right=1178,', 'Bottom=672'], ['car: 70%', 'Left=771,', 'Top=233,', 'Right=831,', 'Bottom=281'], ['person: 61%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=271'], ['person: 66%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
82 [['car: 94%', 'Left=755,', 'Top=229,', 'Right=834,', 'Bottom=282'], ['car: 81%', 'Left=0,', 'Top=492,', 'Right=1177,', 'Bottom=672'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
83 [['car: 92%', 'Left=747,', 'Top=226,', 'Right=836,', 'Bottom=283'], ['car: 79%', 'Left=0,', 'Top=486,', 'Right=1245,', 'Bottom=681'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
84 [['car: 98%', 'Left=730,', 'Top=223,', 'Right=834,', 'Bottom=285'], ['car: 79%', 'Left=0,', 'Top=487,', 'Right=1244,', 'Bottom=681'], ['person: 60%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
85 [['car: 98%', 'Left=718,', 'Top=223,', 'Right=835,', 'Bottom=285'], ['car: 80%', 'Left=0,', 'Top=487,', 'Right=1245,', 'Bottom=681'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=292']]
86 [['car: 98%', 'Left=704,', 'Top=224,', 'Right=838,', 'Bottom=287'], ['car: 79%', 'Left=0,', 'Top=487,', 'Right=1249,', 'Bottom=680'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
87 [['car: 90%', 'Left=691,', 'Top=225,', 'Right=824,', 'Bottom=287'], ['car: 79%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=680'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
88 [['car: 99%', 'Left=673,', 'Top=224,', 'Right=829,', 'Bottom=291'], ['car: 79%', 'Left=0,', 'Top=487,', 'Right=1260,', 'Bottom=680'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
89 [['car: 98%', 'Left=664,', 'Top=223,', 'Right=825,', 'Bottom=293'], ['car: 80%', 'Left=0,', 'Top=487,', 'Right=1266,', 'Bottom=681'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
90 [['car: 99%', 'Left=651,', 'Top=223,', 'Right=806,', 'Bottom=293'], ['car: 81%', 'Left=0,', 'Top=486,', 'Right=1271,', 'Bottom=681'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
91 [['car: 84%', 'Left=646,', 'Top=225,', 'Right=800,', 'Bottom=292'], ['car: 81%', 'Left=0,', 'Top=486,', 'Right=1271,', 'Bottom=681'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=293']]
92 [['car: 98%', 'Left=618,', 'Top=225,', 'Right=786,', 'Bottom=293'], ['car: 82%', 'Left=0,', 'Top=486,', 'Right=1270,', 'Bottom=681'], ['person: 56%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=293']]
93 [['car: 87%', 'Left=614,', 'Top=231,', 'Right=778,', 'Bottom=293'], ['car: 81%', 'Left=0,', 'Top=487,', 'Right=1271,', 'Bottom=681'], ['person: 52%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=293']]
94 [['car: 99%', 'Left=596,', 'Top=230,', 'Right=760,', 'Bottom=295'], ['car: 80%', 'Left=0,', 'Top=488,', 'Right=1271,', 'Bottom=682']]
95 [['car: 91%', 'Left=585,', 'Top=232,', 'Right=759,', 'Bottom=294'], ['car: 80%', 'Left=0,', 'Top=489,', 'Right=1271,', 'Bottom=682']]
96 [['car: 99%', 'Left=569,', 'Top=232,', 'Right=733,', 'Bottom=295'], ['car: 81%', 'Left=0,', 'Top=489,', 'Right=1271,', 'Bottom=682'], ['person: 51%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
97 [['car: 92%', 'Left=549,', 'Top=232,', 'Right=717,', 'Bottom=297'], ['car: 81%', 'Left=0,', 'Top=489,', 'Right=1270,', 'Bottom=681'], ['person: 64%', 'Left=735,', 'Top=235,', 'Right=754,', 'Bottom=270'], ['person: 54%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
98 [['car: 96%', 'Left=523,', 'Top=230,', 'Right=715,', 'Bottom=308'], ['car: 82%', 'Left=0,', 'Top=489,', 'Right=1265,', 'Bottom=681'], ['person: 65%', 'Left=733,', 'Top=235,', 'Right=754,', 'Bottom=270'], ['person: 56%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
99 [['car: 93%', 'Left=518,', 'Top=235,', 'Right=688,', 'Bottom=299'], ['car: 82%', 'Left=0,', 'Top=490,', 'Right=1260,', 'Bottom=680'], ['person: 65%', 'Left=733,', 'Top=235,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
100 [['car: 94%', 'Left=505,', 'Top=236,', 'Right=690,', 'Bottom=300'], ['car: 82%', 'Left=0,', 'Top=490,', 'Right=1257,', 'Bottom=680'], ['person: 64%', 'Left=733,', 'Top=235,', 'Right=754,', 'Bottom=270'], ['person: 68%', 'Left=462,', 'Top=255,', 'Right=482,', 'Bottom=293']]
