1 []
2 []
3 [['truck: 62%', 'Left=515,', 'Top=440,', 'Right=572,', 'Bottom=494']]
91 [['truck: 69%', 'Left=512,', 'Top=428,', 'Right=574,', 'Bottom=492']]
92 [['truck: 76%', 'Left=511,', 'Top=429,', 'Right=568,', 'Bottom=491']]
93 [['truck: 74%', 'Left=511,', 'Top=429,', 'Right=568,', 'Bottom=491']]
94 [['truck: 63%', 'Left=512,', 'Top=429,', 'Right=573,', 'Bottom=491']]
95 [['truck: 64%', 'Left=512,', 'Top=430,', 'Right=574,', 'Bottom=491']]
96 [['truck: 60%', 'Left=512,', 'Top=431,', 'Right=574,', 'Bottom=490']]
97 [['truck: 57%', 'Left=512,', 'Top=431,', 'Right=574,', 'Bottom=491']]
98 [['truck: 57%', 'Left=512,', 'Top=430,', 'Right=574,', 'Bottom=493']]
99 [['truck: 60%', 'Left=512,', 'Top=430,', 'Right=574,', 'Bottom=495']]
100 [['truck: 70%', 'Left=511,', 'Top=431,', 'Right=575,', 'Bottom=496']]
