1 []
2 []
3 [['car: 100%', 'Left=81,', 'Top=232,', 'Right=569,', 'Bottom=507']]
33 [['car: 99%', 'Left=81,', 'Top=226,', 'Right=566,', 'Bottom=512']]
34 [['car: 99%', 'Left=82,', 'Top=225,', 'Right=564,', 'Bottom=512']]
35 [['car: 99%', 'Left=85,', 'Top=226,', 'Right=564,', 'Bottom=512']]
36 [['car: 100%', 'Left=88,', 'Top=226,', 'Right=564,', 'Bottom=512']]
37 [['car: 100%', 'Left=86,', 'Top=226,', 'Right=565,', 'Bottom=516']]
38 [['car: 100%', 'Left=84,', 'Top=226,', 'Right=565,', 'Bottom=517']]
39 [['car: 100%', 'Left=83,', 'Top=225,', 'Right=566,', 'Bottom=516']]
40 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=567,', 'Bottom=515']]
41 [['car: 99%', 'Left=82,', 'Top=225,', 'Right=567,', 'Bottom=514']]
42 [['car: 100%', 'Left=83,', 'Top=225,', 'Right=567,', 'Bottom=515']]
43 [['car: 100%', 'Left=83,', 'Top=226,', 'Right=566,', 'Bottom=514']]
44 [['car: 100%', 'Left=83,', 'Top=226,', 'Right=565,', 'Bottom=514']]
45 [['car: 100%', 'Left=83,', 'Top=226,', 'Right=565,', 'Bottom=514']]
46 [['car: 100%', 'Left=83,', 'Top=225,', 'Right=565,', 'Bottom=514']]
47 [['car: 100%', 'Left=83,', 'Top=225,', 'Right=565,', 'Bottom=515']]
48 [['car: 100%', 'Left=82,', 'Top=226,', 'Right=565,', 'Bottom=516']]
49 [['car: 100%', 'Left=81,', 'Top=226,', 'Right=566,', 'Bottom=516']]
50 [['car: 100%', 'Left=80,', 'Top=226,', 'Right=566,', 'Bottom=516']]
51 [['car: 100%', 'Left=79,', 'Top=226,', 'Right=568,', 'Bottom=516']]
52 [['car: 100%', 'Left=79,', 'Top=225,', 'Right=568,', 'Bottom=516']]
53 [['car: 100%', 'Left=79,', 'Top=225,', 'Right=569,', 'Bottom=516']]
54 [['car: 100%', 'Left=79,', 'Top=225,', 'Right=569,', 'Bottom=516']]
55 [['car: 99%', 'Left=79,', 'Top=225,', 'Right=569,', 'Bottom=516']]
56 [['car: 99%', 'Left=79,', 'Top=225,', 'Right=568,', 'Bottom=517']]
57 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=567,', 'Bottom=516']]
58 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=566,', 'Bottom=516']]
59 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=566,', 'Bottom=516']]
60 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=566,', 'Bottom=516']]
61 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=516']]
62 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=515']]
63 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=515']]
64 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=514']]
65 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=566,', 'Bottom=514']]
66 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=513']]
67 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=512']]
68 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=565,', 'Bottom=512']]
69 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=564,', 'Bottom=512']]
70 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=565,', 'Bottom=512']]
71 [['car: 100%', 'Left=82,', 'Top=224,', 'Right=565,', 'Bottom=513']]
72 [['car: 100%', 'Left=82,', 'Top=223,', 'Right=566,', 'Bottom=514']]
73 [['car: 100%', 'Left=81,', 'Top=223,', 'Right=567,', 'Bottom=515']]
74 [['car: 100%', 'Left=81,', 'Top=223,', 'Right=567,', 'Bottom=515']]
75 [['car: 100%', 'Left=82,', 'Top=224,', 'Right=567,', 'Bottom=514']]
76 [['car: 100%', 'Left=82,', 'Top=224,', 'Right=566,', 'Bottom=513']]
77 [['car: 99%', 'Left=82,', 'Top=224,', 'Right=566,', 'Bottom=513']]
78 [['car: 99%', 'Left=82,', 'Top=225,', 'Right=566,', 'Bottom=513']]
79 [['car: 99%', 'Left=82,', 'Top=225,', 'Right=565,', 'Bottom=513']]
80 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=565,', 'Bottom=514']]
81 [['car: 100%', 'Left=82,', 'Top=224,', 'Right=565,', 'Bottom=514']]
82 [['car: 100%', 'Left=82,', 'Top=225,', 'Right=566,', 'Bottom=513']]
83 [['car: 100%', 'Left=81,', 'Top=225,', 'Right=566,', 'Bottom=513']]
84 [['car: 100%', 'Left=81,', 'Top=224,', 'Right=566,', 'Bottom=513']]
85 [['car: 100%', 'Left=80,', 'Top=224,', 'Right=566,', 'Bottom=513']]
86 [['car: 100%', 'Left=80,', 'Top=224,', 'Right=567,', 'Bottom=514']]
87 [['car: 100%', 'Left=80,', 'Top=224,', 'Right=567,', 'Bottom=514']]
88 [['car: 100%', 'Left=80,', 'Top=225,', 'Right=567,', 'Bottom=514']]
89 [['car: 100%', 'Left=80,', 'Top=226,', 'Right=567,', 'Bottom=514']]
90 [['car: 100%', 'Left=79,', 'Top=225,', 'Right=567,', 'Bottom=513']]
91 [['car: 100%', 'Left=79,', 'Top=224,', 'Right=568,', 'Bottom=514']]
92 [['car: 100%', 'Left=79,', 'Top=223,', 'Right=568,', 'Bottom=515']]
93 [['car: 100%', 'Left=80,', 'Top=223,', 'Right=567,', 'Bottom=515']]
94 [['car: 100%', 'Left=80,', 'Top=223,', 'Right=568,', 'Bottom=515']]
95 [['car: 100%', 'Left=80,', 'Top=223,', 'Right=568,', 'Bottom=515']]
96 [['car: 100%', 'Left=80,', 'Top=222,', 'Right=568,', 'Bottom=515']]
97 [['car: 100%', 'Left=79,', 'Top=223,', 'Right=569,', 'Bottom=515']]
98 [['car: 100%', 'Left=79,', 'Top=223,', 'Right=570,', 'Bottom=515']]
99 [['car: 100%', 'Left=79,', 'Top=222,', 'Right=570,', 'Bottom=515']]
100 [['car: 100%', 'Left=79,', 'Top=222,', 'Right=571,', 'Bottom=515']]
