1 []
2 []
3 [['car: 99%', 'Left=458,', 'Top=269,', 'Right=892,', 'Bottom=584'], ['car: 99%', 'Left=159,', 'Top=356,', 'Right=478,', 'Bottom=556']]
83 [['car: 99%', 'Left=455,', 'Top=266,', 'Right=897,', 'Bottom=585'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=477,', 'Bottom=556']]
84 [['car: 99%', 'Left=455,', 'Top=266,', 'Right=898,', 'Bottom=585'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=478,', 'Bottom=556']]
85 [['car: 100%', 'Left=465,', 'Top=263,', 'Right=928,', 'Bottom=586'], ['car: 99%', 'Left=154,', 'Top=354,', 'Right=479,', 'Bottom=555']]
86 [['car: 99%', 'Left=454,', 'Top=266,', 'Right=898,', 'Bottom=586'], ['car: 99%', 'Left=152,', 'Top=355,', 'Right=479,', 'Bottom=555']]
87 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 99%', 'Left=151,', 'Top=355,', 'Right=478,', 'Bottom=555']]
88 [['car: 99%', 'Left=454,', 'Top=264,', 'Right=896,', 'Bottom=588'], ['car: 100%', 'Left=151,', 'Top=355,', 'Right=478,', 'Bottom=555']]
89 [['car: 99%', 'Left=455,', 'Top=264,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=151,', 'Top=354,', 'Right=478,', 'Bottom=554']]
90 [['car: 99%', 'Left=455,', 'Top=264,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=151,', 'Top=354,', 'Right=478,', 'Bottom=553']]
91 [['car: 99%', 'Left=454,', 'Top=264,', 'Right=895,', 'Bottom=589'], ['car: 100%', 'Left=151,', 'Top=354,', 'Right=477,', 'Bottom=553']]
92 [['car: 99%', 'Left=453,', 'Top=264,', 'Right=897,', 'Bottom=588'], ['car: 100%', 'Left=152,', 'Top=354,', 'Right=477,', 'Bottom=553']]
93 [['car: 99%', 'Left=453,', 'Top=264,', 'Right=897,', 'Bottom=588'], ['car: 100%', 'Left=152,', 'Top=354,', 'Right=478,', 'Bottom=554']]
94 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=588'], ['car: 100%', 'Left=152,', 'Top=355,', 'Right=479,', 'Bottom=554']]
95 [['car: 99%', 'Left=454,', 'Top=264,', 'Right=898,', 'Bottom=587'], ['car: 100%', 'Left=151,', 'Top=355,', 'Right=482,', 'Bottom=554']]
96 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=927,', 'Bottom=586'], ['car: 100%', 'Left=152,', 'Top=356,', 'Right=483,', 'Bottom=555']]
97 [['car: 100%', 'Left=466,', 'Top=260,', 'Right=927,', 'Bottom=586'], ['car: 100%', 'Left=152,', 'Top=356,', 'Right=483,', 'Bottom=555']]
98 [['car: 100%', 'Left=466,', 'Top=259,', 'Right=926,', 'Bottom=586'], ['car: 100%', 'Left=152,', 'Top=356,', 'Right=483,', 'Bottom=555']]
99 [['car: 100%', 'Left=467,', 'Top=259,', 'Right=925,', 'Bottom=586'], ['car: 100%', 'Left=151,', 'Top=355,', 'Right=483,', 'Bottom=554']]
100 [['car: 99%', 'Left=453,', 'Top=262,', 'Right=899,', 'Bottom=586'], ['car: 100%', 'Left=151,', 'Top=355,', 'Right=484,', 'Bottom=554']]
