1 []
2 []
3 [['car: 99%', 'Left=467,', 'Top=262,', 'Right=926,', 'Bottom=590'], ['car: 100%', 'Left=155,', 'Top=350,', 'Right=476,', 'Bottom=556']]
37 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=351,', 'Right=474,', 'Bottom=554']]
38 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=474,', 'Bottom=554']]
39 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=474,', 'Bottom=554']]
40 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=475,', 'Bottom=553']]
41 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=476,', 'Bottom=553']]
42 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=479,', 'Bottom=554']]
43 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=482,', 'Bottom=555']]
44 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=485,', 'Bottom=556']]
45 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=929,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=485,', 'Bottom=556']]
46 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=929,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=485,', 'Bottom=557']]
47 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=928,', 'Bottom=589'], ['car: 99%', 'Left=156,', 'Top=351,', 'Right=484,', 'Bottom=556']]
48 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=157,', 'Top=351,', 'Right=482,', 'Bottom=557']]
49 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=929,', 'Bottom=590'], ['car: 100%', 'Left=156,', 'Top=350,', 'Right=480,', 'Bottom=556']]
50 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=929,', 'Bottom=590'], ['car: 100%', 'Left=156,', 'Top=348,', 'Right=477,', 'Bottom=556']]
51 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=930,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=347,', 'Right=476,', 'Bottom=556']]
52 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=930,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=347,', 'Right=474,', 'Bottom=557']]
53 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=929,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=347,', 'Right=474,', 'Bottom=557']]
54 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=929,', 'Bottom=589'], ['car: 100%', 'Left=157,', 'Top=347,', 'Right=473,', 'Bottom=556']]
55 [['car: 100%', 'Left=157,', 'Top=348,', 'Right=473,', 'Bottom=556'], ['car: 100%', 'Left=465,', 'Top=261,', 'Right=930,', 'Bottom=589']]
56 [['car: 100%', 'Left=157,', 'Top=348,', 'Right=473,', 'Bottom=555'], ['car: 100%', 'Left=465,', 'Top=262,', 'Right=930,', 'Bottom=589']]
57 [['car: 100%', 'Left=157,', 'Top=348,', 'Right=474,', 'Bottom=554'], ['car: 100%', 'Left=465,', 'Top=262,', 'Right=930,', 'Bottom=589']]
58 [['car: 100%', 'Left=156,', 'Top=349,', 'Right=477,', 'Bottom=554'], ['car: 100%', 'Left=465,', 'Top=262,', 'Right=929,', 'Bottom=588']]
59 [['car: 100%', 'Left=156,', 'Top=349,', 'Right=479,', 'Bottom=553'], ['car: 100%', 'Left=466,', 'Top=263,', 'Right=929,', 'Bottom=587']]
60 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=928,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=350,', 'Right=481,', 'Bottom=553']]
61 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=350,', 'Right=482,', 'Bottom=552']]
62 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=587'], ['car: 99%', 'Left=154,', 'Top=351,', 'Right=483,', 'Bottom=553']]
63 [['car: 100%', 'Left=467,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=155,', 'Top=352,', 'Right=483,', 'Bottom=553']]
64 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=155,', 'Top=352,', 'Right=481,', 'Bottom=554']]
65 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=156,', 'Top=352,', 'Right=480,', 'Bottom=554']]
66 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=157,', 'Top=352,', 'Right=478,', 'Bottom=555']]
67 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=157,', 'Top=352,', 'Right=478,', 'Bottom=556']]
68 [['car: 100%', 'Left=467,', 'Top=263,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=158,', 'Top=352,', 'Right=477,', 'Bottom=557']]
69 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=158,', 'Top=352,', 'Right=476,', 'Bottom=558']]
70 [['car: 100%', 'Left=467,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=159,', 'Top=352,', 'Right=475,', 'Bottom=559']]
71 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=351,', 'Right=476,', 'Bottom=559']]
72 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=351,', 'Right=477,', 'Bottom=558']]
73 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=157,', 'Top=351,', 'Right=478,', 'Bottom=556']]
74 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=928,', 'Bottom=589'], ['car: 99%', 'Left=157,', 'Top=351,', 'Right=480,', 'Bottom=556']]
75 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=928,', 'Bottom=588'], ['car: 99%', 'Left=157,', 'Top=352,', 'Right=480,', 'Bottom=556']]
76 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=929,', 'Bottom=588'], ['car: 99%', 'Left=157,', 'Top=352,', 'Right=481,', 'Bottom=557']]
77 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=929,', 'Bottom=589'], ['car: 99%', 'Left=157,', 'Top=352,', 'Right=480,', 'Bottom=557']]
78 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=929,', 'Bottom=589'], ['car: 99%', 'Left=157,', 'Top=353,', 'Right=482,', 'Bottom=557']]
79 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=929,', 'Bottom=590'], ['car: 99%', 'Left=158,', 'Top=353,', 'Right=483,', 'Bottom=557']]
80 [['car: 100%', 'Left=466,', 'Top=260,', 'Right=929,', 'Bottom=590'], ['car: 99%', 'Left=158,', 'Top=352,', 'Right=481,', 'Bottom=556']]
81 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=590'], ['car: 99%', 'Left=158,', 'Top=351,', 'Right=479,', 'Bottom=556']]
82 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=159,', 'Top=351,', 'Right=477,', 'Bottom=556']]
83 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=590'], ['car: 100%', 'Left=159,', 'Top=351,', 'Right=476,', 'Bottom=556']]
84 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=929,', 'Bottom=590'], ['car: 100%', 'Left=159,', 'Top=352,', 'Right=477,', 'Bottom=556']]
85 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=929,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=351,', 'Right=477,', 'Bottom=556']]
86 [['car: 100%', 'Left=465,', 'Top=261,', 'Right=930,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=351,', 'Right=477,', 'Bottom=557']]
87 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=930,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=351,', 'Right=476,', 'Bottom=557']]
88 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=931,', 'Bottom=590'], ['car: 100%', 'Left=158,', 'Top=352,', 'Right=476,', 'Bottom=557']]
89 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=931,', 'Bottom=590'], ['car: 100%', 'Left=159,', 'Top=352,', 'Right=476,', 'Bottom=556']]
90 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=931,', 'Bottom=589'], ['car: 99%', 'Left=159,', 'Top=352,', 'Right=477,', 'Bottom=555']]
91 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=930,', 'Bottom=588'], ['car: 99%', 'Left=160,', 'Top=352,', 'Right=479,', 'Bottom=556']]
92 [['car: 100%', 'Left=467,', 'Top=263,', 'Right=930,', 'Bottom=588'], ['car: 99%', 'Left=161,', 'Top=353,', 'Right=481,', 'Bottom=557']]
93 [['car: 100%', 'Left=467,', 'Top=263,', 'Right=930,', 'Bottom=588'], ['car: 99%', 'Left=161,', 'Top=354,', 'Right=483,', 'Bottom=557']]
94 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=930,', 'Bottom=588'], ['car: 99%', 'Left=161,', 'Top=354,', 'Right=483,', 'Bottom=558']]
95 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=931,', 'Bottom=588'], ['car: 99%', 'Left=160,', 'Top=354,', 'Right=484,', 'Bottom=558']]
96 [['car: 100%', 'Left=466,', 'Top=263,', 'Right=932,', 'Bottom=588'], ['car: 99%', 'Left=159,', 'Top=354,', 'Right=482,', 'Bottom=558']]
97 [['car: 100%', 'Left=465,', 'Top=263,', 'Right=932,', 'Bottom=588'], ['car: 99%', 'Left=158,', 'Top=354,', 'Right=480,', 'Bottom=557']]
98 [['car: 100%', 'Left=465,', 'Top=263,', 'Right=932,', 'Bottom=588'], ['car: 100%', 'Left=159,', 'Top=353,', 'Right=477,', 'Bottom=557']]
99 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=931,', 'Bottom=589'], ['car: 100%', 'Left=159,', 'Top=353,', 'Right=477,', 'Bottom=557']]
100 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=930,', 'Bottom=588'], ['car: 100%', 'Left=160,', 'Top=353,', 'Right=478,', 'Bottom=557']]
