1 []
2 []
3 [['car: 96%', 'Left=213,', 'Top=38,', 'Right=1279,', 'Bottom=717']]
31 [['car: 98%', 'Left=210,', 'Top=40,', 'Right=1279,', 'Bottom=718']]
32 [['car: 98%', 'Left=210,', 'Top=40,', 'Right=1279,', 'Bottom=718']]
33 [['car: 98%', 'Left=209,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
34 [['car: 98%', 'Left=212,', 'Top=41,', 'Right=1279,', 'Bottom=715']]
35 [['car: 98%', 'Left=214,', 'Top=40,', 'Right=1279,', 'Bottom=715']]
36 [['car: 98%', 'Left=215,', 'Top=40,', 'Right=1279,', 'Bottom=715']]
37 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
38 [['car: 98%', 'Left=215,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
39 [['car: 98%', 'Left=215,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
40 [['car: 98%', 'Left=215,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
41 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
42 [['car: 98%', 'Left=213,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
43 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
44 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
45 [['car: 98%', 'Left=212,', 'Top=40,', 'Right=1279,', 'Bottom=717']]
46 [['car: 98%', 'Left=211,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
47 [['car: 97%', 'Left=210,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
48 [['car: 97%', 'Left=212,', 'Top=45,', 'Right=1279,', 'Bottom=713']]
49 [['car: 98%', 'Left=213,', 'Top=45,', 'Right=1279,', 'Bottom=712']]
50 [['car: 98%', 'Left=214,', 'Top=44,', 'Right=1279,', 'Bottom=714']]
51 [['car: 98%', 'Left=216,', 'Top=44,', 'Right=1279,', 'Bottom=715']]
52 [['car: 98%', 'Left=216,', 'Top=44,', 'Right=1279,', 'Bottom=717']]
53 [['car: 98%', 'Left=217,', 'Top=46,', 'Right=1279,', 'Bottom=716']]
54 [['car: 98%', 'Left=217,', 'Top=47,', 'Right=1279,', 'Bottom=714']]
55 [['car: 98%', 'Left=220,', 'Top=48,', 'Right=1279,', 'Bottom=712']]
56 [['car: 98%', 'Left=222,', 'Top=48,', 'Right=1279,', 'Bottom=712']]
57 [['car: 98%', 'Left=224,', 'Top=48,', 'Right=1279,', 'Bottom=713']]
58 [['car: 98%', 'Left=223,', 'Top=46,', 'Right=1279,', 'Bottom=715']]
59 [['car: 98%', 'Left=224,', 'Top=46,', 'Right=1279,', 'Bottom=716']]
60 [['car: 99%', 'Left=223,', 'Top=45,', 'Right=1279,', 'Bottom=718']]
61 [['car: 99%', 'Left=222,', 'Top=45,', 'Right=1279,', 'Bottom=718']]
62 [['car: 99%', 'Left=221,', 'Top=45,', 'Right=1279,', 'Bottom=717']]
63 [['car: 99%', 'Left=220,', 'Top=45,', 'Right=1279,', 'Bottom=717']]
64 [['car: 99%', 'Left=221,', 'Top=48,', 'Right=1279,', 'Bottom=715']]
65 [['car: 99%', 'Left=219,', 'Top=48,', 'Right=1279,', 'Bottom=715']]
66 [['car: 99%', 'Left=219,', 'Top=48,', 'Right=1279,', 'Bottom=713']]
67 [['car: 98%', 'Left=216,', 'Top=46,', 'Right=1279,', 'Bottom=715']]
68 [['car: 98%', 'Left=215,', 'Top=44,', 'Right=1279,', 'Bottom=716']]
69 [['car: 98%', 'Left=213,', 'Top=42,', 'Right=1279,', 'Bottom=717']]
70 [['car: 98%', 'Left=212,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
71 [['car: 98%', 'Left=216,', 'Top=42,', 'Right=1279,', 'Bottom=716']]
72 [['car: 98%', 'Left=216,', 'Top=41,', 'Right=1279,', 'Bottom=718']]
73 [['car: 98%', 'Left=219,', 'Top=42,', 'Right=1279,', 'Bottom=719']]
74 [['car: 99%', 'Left=219,', 'Top=41,', 'Right=1279,', 'Bottom=719']]
75 [['car: 99%', 'Left=220,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
76 [['car: 99%', 'Left=221,', 'Top=42,', 'Right=1279,', 'Bottom=716']]
77 [['car: 99%', 'Left=221,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
78 [['car: 98%', 'Left=219,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
79 [['car: 98%', 'Left=217,', 'Top=42,', 'Right=1279,', 'Bottom=716']]
80 [['car: 98%', 'Left=214,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
81 [['car: 98%', 'Left=214,', 'Top=42,', 'Right=1279,', 'Bottom=716']]
82 [['car: 98%', 'Left=214,', 'Top=43,', 'Right=1279,', 'Bottom=716']]
83 [['car: 99%', 'Left=213,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
84 [['car: 99%', 'Left=213,', 'Top=40,', 'Right=1279,', 'Bottom=718']]
85 [['car: 99%', 'Left=211,', 'Top=39,', 'Right=1279,', 'Bottom=719']]
86 [['car: 98%', 'Left=213,', 'Top=40,', 'Right=1279,', 'Bottom=718']]
87 [['car: 98%', 'Left=215,', 'Top=39,', 'Right=1279,', 'Bottom=719']]
88 [['car: 98%', 'Left=218,', 'Top=39,', 'Right=1279,', 'Bottom=719']]
89 [['car: 98%', 'Left=218,', 'Top=38,', 'Right=1279,', 'Bottom=719']]
90 [['car: 98%', 'Left=218,', 'Top=39,', 'Right=1279,', 'Bottom=718']]
91 [['car: 98%', 'Left=216,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
92 [['car: 98%', 'Left=217,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
93 [['car: 98%', 'Left=216,', 'Top=42,', 'Right=1279,', 'Bottom=715']]
94 [['car: 98%', 'Left=216,', 'Top=41,', 'Right=1279,', 'Bottom=717']]
95 [['car: 99%', 'Left=215,', 'Top=39,', 'Right=1279,', 'Bottom=717']]
96 [['car: 98%', 'Left=213,', 'Top=39,', 'Right=1279,', 'Bottom=717']]
97 [['car: 98%', 'Left=213,', 'Top=39,', 'Right=1279,', 'Bottom=716']]
98 [['car: 98%', 'Left=214,', 'Top=39,', 'Right=1279,', 'Bottom=716']]
99 [['car: 98%', 'Left=216,', 'Top=39,', 'Right=1279,', 'Bottom=716']]
100 [['car: 98%', 'Left=217,', 'Top=41,', 'Right=1279,', 'Bottom=716']]
