1 []
2 []
3 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=407'], ['truck: 98%', 'Left=4,', 'Top=195,', 'Right=292,', 'Bottom=485'], ['person: 65%', 'Left=286,', 'Top=347,', 'Right=447,', 'Bottom=506'], ['motorbike: 60%', 'Left=946,', 'Top=235,', 'Right=1089,', 'Bottom=357']]
4 [['motorbike: 99%', 'Left=798,', 'Top=244,', 'Right=944,', 'Bottom=406'], ['truck: 96%', 'Left=5,', 'Top=196,', 'Right=292,', 'Bottom=486'], ['motorbike: 75%', 'Left=219,', 'Top=402,', 'Right=432,', 'Bottom=551'], ['person: 59%', 'Left=299,', 'Top=344,', 'Right=417,', 'Bottom=509'], ['motorbike: 59%', 'Left=964,', 'Top=230,', 'Right=1063,', 'Bottom=364']]
5 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=944,', 'Bottom=406'], ['truck: 95%', 'Left=7,', 'Top=197,', 'Right=292,', 'Bottom=488'], ['person: 60%', 'Left=230,', 'Top=344,', 'Right=396,', 'Bottom=510'], ['motorbike: 61%', 'Left=965,', 'Top=230,', 'Right=1063,', 'Bottom=364']]
6 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=405'], ['truck: 91%', 'Left=8,', 'Top=197,', 'Right=292,', 'Bottom=491'], ['person: 69%', 'Left=180,', 'Top=342,', 'Right=358,', 'Bottom=522'], ['motorbike: 60%', 'Left=965,', 'Top=231,', 'Right=1063,', 'Bottom=363']]
7 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['truck: 86%', 'Left=8,', 'Top=199,', 'Right=291,', 'Bottom=493'], ['person: 62%', 'Left=143,', 'Top=341,', 'Right=317,', 'Bottom=522'], ['motorbike: 61%', 'Left=949,', 'Top=235,', 'Right=1090,', 'Bottom=356']]
8 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['person: 74%', 'Left=132,', 'Top=340,', 'Right=300,', 'Bottom=521'], ['truck: 76%', 'Left=5,', 'Top=200,', 'Right=289,', 'Bottom=495'], ['motorbike: 64%', 'Left=950,', 'Top=235,', 'Right=1091,', 'Bottom=356']]
9 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=406'], ['person: 64%', 'Left=88,', 'Top=343,', 'Right=266,', 'Bottom=520'], ['truck: 68%', 'Left=1,', 'Top=198,', 'Right=288,', 'Bottom=496'], ['motorbike: 66%', 'Left=972,', 'Top=229,', 'Right=1112,', 'Bottom=352']]
10 [['motorbike: 99%', 'Left=799,', 'Top=244,', 'Right=945,', 'Bottom=406'], ['truck: 69%', 'Left=0,', 'Top=198,', 'Right=290,', 'Bottom=490'], ['motorbike: 68%', 'Left=972,', 'Top=229,', 'Right=1112,', 'Bottom=352']]
21 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['truck: 98%', 'Left=2,', 'Top=193,', 'Right=285,', 'Bottom=486'], ['motorbike: 59%', 'Left=964,', 'Top=228,', 'Right=1061,', 'Bottom=363']]
22 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=406'], ['truck: 98%', 'Left=1,', 'Top=193,', 'Right=286,', 'Bottom=486'], ['motorbike: 58%', 'Left=964,', 'Top=227,', 'Right=1062,', 'Bottom=362']]
23 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['truck: 98%', 'Left=1,', 'Top=194,', 'Right=286,', 'Bottom=485'], ['motorbike: 60%', 'Left=965,', 'Top=227,', 'Right=1062,', 'Bottom=362']]
24 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=945,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=194,', 'Right=286,', 'Bottom=485'], ['motorbike: 64%', 'Left=965,', 'Top=227,', 'Right=1062,', 'Bottom=362']]
25 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=194,', 'Right=287,', 'Bottom=485'], ['motorbike: 69%', 'Left=964,', 'Top=227,', 'Right=1062,', 'Bottom=363']]
26 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=945,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=194,', 'Right=288,', 'Bottom=486'], ['motorbike: 72%', 'Left=964,', 'Top=228,', 'Right=1061,', 'Bottom=363']]
27 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=945,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=194,', 'Right=288,', 'Bottom=487'], ['motorbike: 74%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
28 [['motorbike: 99%', 'Left=798,', 'Top=243,', 'Right=945,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=193,', 'Right=288,', 'Bottom=486'], ['motorbike: 73%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
29 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=193,', 'Right=288,', 'Bottom=486'], ['motorbike: 72%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
30 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=406'], ['truck: 98%', 'Left=2,', 'Top=193,', 'Right=288,', 'Bottom=486'], ['motorbike: 70%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
31 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['truck: 98%', 'Left=2,', 'Top=193,', 'Right=287,', 'Bottom=486'], ['motorbike: 69%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
32 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=287,', 'Bottom=486'], ['motorbike: 70%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
33 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=405'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=287,', 'Bottom=486'], ['motorbike: 71%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
34 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=404'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=287,', 'Bottom=487'], ['motorbike: 69%', 'Left=963,', 'Top=228,', 'Right=1061,', 'Bottom=364']]
35 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=943,', 'Bottom=403'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=287,', 'Bottom=487'], ['motorbike: 66%', 'Left=963,', 'Top=228,', 'Right=1061,', 'Bottom=364']]
36 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=943,', 'Bottom=403'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=286,', 'Bottom=487'], ['motorbike: 66%', 'Left=963,', 'Top=228,', 'Right=1061,', 'Bottom=364']]
37 [['motorbike: 99%', 'Left=800,', 'Top=242,', 'Right=943,', 'Bottom=403'], ['truck: 98%', 'Left=3,', 'Top=193,', 'Right=286,', 'Bottom=486'], ['motorbike: 67%', 'Left=962,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
38 [['motorbike: 99%', 'Left=800,', 'Top=242,', 'Right=943,', 'Bottom=405'], ['truck: 99%', 'Left=3,', 'Top=193,', 'Right=285,', 'Bottom=486'], ['motorbike: 67%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=363']]
39 [['motorbike: 99%', 'Left=800,', 'Top=242,', 'Right=943,', 'Bottom=406'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 67%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=363']]
40 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=406'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 68%', 'Left=963,', 'Top=228,', 'Right=1062,', 'Bottom=363']]
41 [['motorbike: 99%', 'Left=800,', 'Top=243,', 'Right=943,', 'Bottom=405'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=286,', 'Bottom=486'], ['motorbike: 71%', 'Left=963,', 'Top=228,', 'Right=1062,', 'Bottom=363']]
42 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=286,', 'Bottom=486'], ['motorbike: 71%', 'Left=963,', 'Top=228,', 'Right=1062,', 'Bottom=363']]
43 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=286,', 'Bottom=486'], ['motorbike: 71%', 'Left=963,', 'Top=229,', 'Right=1061,', 'Bottom=363']]
44 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 70%', 'Left=962,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
45 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=403'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 71%', 'Left=962,', 'Top=230,', 'Right=1061,', 'Bottom=364']]
46 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 72%', 'Left=962,', 'Top=229,', 'Right=1061,', 'Bottom=364']]
47 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 72%', 'Left=962,', 'Top=229,', 'Right=1061,', 'Bottom=365']]
48 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=4,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 71%', 'Left=962,', 'Top=228,', 'Right=1061,', 'Bottom=364']]
49 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=484'], ['motorbike: 69%', 'Left=963,', 'Top=228,', 'Right=1062,', 'Bottom=364']]
50 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=484'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['motorbike: 65%', 'Left=963,', 'Top=229,', 'Right=1062,', 'Bottom=364']]
51 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=484'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=403'], ['motorbike: 61%', 'Left=963,', 'Top=230,', 'Right=1062,', 'Bottom=363']]
52 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=484'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['motorbike: 61%', 'Left=946,', 'Top=235,', 'Right=1088,', 'Bottom=356']]
53 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=484'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['motorbike: 61%', 'Left=946,', 'Top=235,', 'Right=1089,', 'Bottom=356']]
54 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=484'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['motorbike: 63%', 'Left=945,', 'Top=235,', 'Right=1088,', 'Bottom=356']]
55 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=403'], ['motorbike: 64%', 'Left=944,', 'Top=235,', 'Right=1088,', 'Bottom=357']]
56 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=403'], ['motorbike: 64%', 'Left=944,', 'Top=235,', 'Right=1088,', 'Bottom=357']]
57 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 98%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=403'], ['motorbike: 65%', 'Left=944,', 'Top=236,', 'Right=1088,', 'Bottom=357']]
58 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=943,', 'Bottom=403'], ['motorbike: 66%', 'Left=944,', 'Top=236,', 'Right=1088,', 'Bottom=357']]
59 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=404'], ['motorbike: 68%', 'Left=944,', 'Top=235,', 'Right=1089,', 'Bottom=357']]
60 [['truck: 99%', 'Left=4,', 'Top=193,', 'Right=284,', 'Bottom=486'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=405'], ['motorbike: 67%', 'Left=945,', 'Top=235,', 'Right=1088,', 'Bottom=357']]
61 [['truck: 99%', 'Left=4,', 'Top=193,', 'Right=284,', 'Bottom=486'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=405'], ['motorbike: 67%', 'Left=946,', 'Top=235,', 'Right=1088,', 'Bottom=357']]
62 [['truck: 99%', 'Left=4,', 'Top=193,', 'Right=284,', 'Bottom=487'], ['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['motorbike: 65%', 'Left=946,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
63 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=487'], ['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=405'], ['motorbike: 66%', 'Left=946,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
64 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=487'], ['motorbike: 99%', 'Left=798,', 'Top=241,', 'Right=944,', 'Bottom=405'], ['motorbike: 66%', 'Left=945,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
65 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=487'], ['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=945,', 'Bottom=405'], ['motorbike: 68%', 'Left=946,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
66 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=945,', 'Bottom=404'], ['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=486'], ['motorbike: 69%', 'Left=962,', 'Top=231,', 'Right=1062,', 'Bottom=364']]
67 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=486'], ['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=945,', 'Bottom=404'], ['motorbike: 69%', 'Left=962,', 'Top=231,', 'Right=1062,', 'Bottom=363']]
68 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=945,', 'Bottom=404'], ['motorbike: 66%', 'Left=963,', 'Top=231,', 'Right=1062,', 'Bottom=363']]
69 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=945,', 'Bottom=404'], ['motorbike: 66%', 'Left=946,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
70 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=945,', 'Bottom=404'], ['motorbike: 66%', 'Left=945,', 'Top=235,', 'Right=1087,', 'Bottom=357']]
71 [['truck: 99%', 'Left=4,', 'Top=193,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=945,', 'Bottom=404'], ['motorbike: 65%', 'Left=963,', 'Top=230,', 'Right=1063,', 'Bottom=364']]
72 [['truck: 99%', 'Left=4,', 'Top=193,', 'Right=284,', 'Bottom=486'], ['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['motorbike: 66%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=364']]
73 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 67%', 'Left=964,', 'Top=229,', 'Right=1063,', 'Bottom=364']]
74 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=403'], ['truck: 99%', 'Left=3,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 68%', 'Left=964,', 'Top=228,', 'Right=1064,', 'Bottom=364']]
75 [['motorbike: 99%', 'Left=798,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=195,', 'Right=283,', 'Bottom=484'], ['motorbike: 68%', 'Left=946,', 'Top=233,', 'Right=1089,', 'Bottom=357']]
76 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=3,', 'Top=195,', 'Right=284,', 'Bottom=484'], ['motorbike: 67%', 'Left=945,', 'Top=233,', 'Right=1088,', 'Bottom=357']]
77 [['truck: 99%', 'Left=3,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=404'], ['motorbike: 66%', 'Left=944,', 'Top=233,', 'Right=1088,', 'Bottom=357']]
78 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=943,', 'Bottom=404'], ['motorbike: 66%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=364']]
79 [['truck: 99%', 'Left=3,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=404'], ['motorbike: 67%', 'Left=962,', 'Top=229,', 'Right=1063,', 'Bottom=364']]
80 [['truck: 99%', 'Left=3,', 'Top=194,', 'Right=282,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=943,', 'Bottom=405'], ['motorbike: 65%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=364']]
81 [['truck: 99%', 'Left=3,', 'Top=195,', 'Right=282,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=240,', 'Right=944,', 'Bottom=405'], ['motorbike: 66%', 'Left=941,', 'Top=234,', 'Right=1086,', 'Bottom=357']]
82 [['truck: 99%', 'Left=4,', 'Top=195,', 'Right=281,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=240,', 'Right=944,', 'Bottom=406'], ['motorbike: 65%', 'Left=940,', 'Top=234,', 'Right=1085,', 'Bottom=357']]
83 [['truck: 99%', 'Left=4,', 'Top=195,', 'Right=282,', 'Bottom=485'], ['motorbike: 99%', 'Left=798,', 'Top=240,', 'Right=944,', 'Bottom=407'], ['motorbike: 65%', 'Left=941,', 'Top=234,', 'Right=1085,', 'Bottom=357']]
84 [['truck: 99%', 'Left=4,', 'Top=194,', 'Right=283,', 'Bottom=485'], ['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=406'], ['motorbike: 67%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=363']]
85 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=406'], ['truck: 99%', 'Left=4,', 'Top=194,', 'Right=284,', 'Bottom=485'], ['motorbike: 67%', 'Left=963,', 'Top=229,', 'Right=1063,', 'Bottom=363']]
86 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=406'], ['truck: 98%', 'Left=4,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 66%', 'Left=964,', 'Top=229,', 'Right=1063,', 'Bottom=363']]
87 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=406'], ['truck: 98%', 'Left=4,', 'Top=194,', 'Right=285,', 'Bottom=485'], ['motorbike: 66%', 'Left=950,', 'Top=233,', 'Right=1089,', 'Bottom=356']]
88 [['motorbike: 99%', 'Left=799,', 'Top=241,', 'Right=944,', 'Bottom=405'], ['truck: 98%', 'Left=4,', 'Top=193,', 'Right=285,', 'Bottom=485'], ['motorbike: 64%', 'Left=964,', 'Top=228,', 'Right=1063,', 'Bottom=362']]
89 [['motorbike: 99%', 'Left=799,', 'Top=242,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=4,', 'Top=193,', 'Right=285,', 'Bottom=485'], ['motorbike: 61%', 'Left=964,', 'Top=229,', 'Right=1062,', 'Bottom=362']]
90 [['motorbike: 99%', 'Left=799,', 'Top=243,', 'Right=944,', 'Bottom=404'], ['truck: 99%', 'Left=4,', 'Top=193,', 'Right=285,', 'Bottom=484'], ['motorbike: 62%', 'Left=964,', 'Top=229,', 'Right=1062,', 'Bottom=362']]
