1 []
2 []
3 [['car: 100%', 'Left=489,', 'Top=460,', 'Right=795,', 'Bottom=675'], ['bus: 70%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 91%', 'Left=927,', 'Top=446,', 'Right=1058,', 'Bottom=546']]
49 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 73%', 'Left=593,', 'Top=361,', 'Right=753,', 'Bottom=486'], ['car: 90%', 'Left=929,', 'Top=445,', 'Right=1059,', 'Bottom=545']]
50 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 74%', 'Left=593,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 90%', 'Left=928,', 'Top=445,', 'Right=1060,', 'Bottom=545']]
51 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 74%', 'Left=593,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 90%', 'Left=927,', 'Top=445,', 'Right=1060,', 'Bottom=545']]
52 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 91%', 'Left=927,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
53 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=795,', 'Bottom=673'], ['bus: 75%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 89%', 'Left=927,', 'Top=444,', 'Right=1061,', 'Bottom=545']]
54 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=794,', 'Bottom=672'], ['bus: 75%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=485'], ['car: 87%', 'Left=926,', 'Top=444,', 'Right=1061,', 'Bottom=546']]
55 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=794,', 'Bottom=672'], ['bus: 75%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=485'], ['car: 84%', 'Left=924,', 'Top=444,', 'Right=1062,', 'Bottom=545']]
56 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=794,', 'Bottom=672'], ['bus: 74%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 84%', 'Left=924,', 'Top=444,', 'Right=1061,', 'Bottom=545']]
57 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=794,', 'Bottom=673'], ['bus: 73%', 'Left=590,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 85%', 'Left=924,', 'Top=444,', 'Right=1061,', 'Bottom=545']]
58 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=794,', 'Bottom=673'], ['bus: 74%', 'Left=590,', 'Top=361,', 'Right=753,', 'Bottom=483'], ['car: 85%', 'Left=924,', 'Top=444,', 'Right=1061,', 'Bottom=545']]
59 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 75%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 86%', 'Left=924,', 'Top=445,', 'Right=1062,', 'Bottom=545']]
60 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 77%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 85%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
61 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 77%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 85%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
62 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 76%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 85%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=544']]
63 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 75%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 86%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=544']]
64 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 74%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 87%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=544']]
65 [['car: 100%', 'Left=487,', 'Top=463,', 'Right=796,', 'Bottom=672'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=927,', 'Top=445,', 'Right=1060,', 'Bottom=545']]
66 [['car: 100%', 'Left=488,', 'Top=463,', 'Right=796,', 'Bottom=671'], ['bus: 74%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=926,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
67 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=926,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
68 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 72%', 'Left=590,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=926,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
69 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 71%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=926,', 'Top=445,', 'Right=1061,', 'Bottom=548']]
70 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 69%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=926,', 'Top=445,', 'Right=1061,', 'Bottom=548']]
71 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 66%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=925,', 'Top=445,', 'Right=1062,', 'Bottom=547']]
72 [['car: 100%', 'Left=487,', 'Top=461,', 'Right=796,', 'Bottom=673'], ['bus: 65%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 85%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
73 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=673'], ['bus: 64%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=548']]
74 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=795,', 'Bottom=673'], ['bus: 65%', 'Left=592,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 87%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=548']]
75 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=795,', 'Bottom=674'], ['bus: 66%', 'Left=592,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 88%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
76 [['car: 100%', 'Left=488,', 'Top=462,', 'Right=795,', 'Bottom=674'], ['bus: 68%', 'Left=592,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 88%', 'Left=926,', 'Top=445,', 'Right=1060,', 'Bottom=547']]
77 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=674'], ['bus: 69%', 'Left=592,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 86%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
78 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 69%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 86%', 'Left=925,', 'Top=446,', 'Right=1061,', 'Bottom=547']]
79 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 69%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 86%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
80 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 70%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 88%', 'Left=924,', 'Top=446,', 'Right=1061,', 'Bottom=547']]
81 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=793,', 'Bottom=674'], ['bus: 73%', 'Left=592,', 'Top=360,', 'Right=754,', 'Bottom=486'], ['car: 89%', 'Left=924,', 'Top=446,', 'Right=1061,', 'Bottom=547']]
82 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=793,', 'Bottom=674'], ['bus: 73%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=487'], ['car: 90%', 'Left=924,', 'Top=446,', 'Right=1062,', 'Bottom=547']]
83 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=793,', 'Bottom=675'], ['bus: 73%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=487'], ['car: 91%', 'Left=924,', 'Top=447,', 'Right=1062,', 'Bottom=547']]
84 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=793,', 'Bottom=675'], ['bus: 72%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=488'], ['car: 90%', 'Left=924,', 'Top=447,', 'Right=1062,', 'Bottom=547']]
85 [['car: 100%', 'Left=492,', 'Top=461,', 'Right=793,', 'Bottom=675'], ['bus: 71%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 91%', 'Left=924,', 'Top=446,', 'Right=1062,', 'Bottom=547']]
86 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=793,', 'Bottom=674'], ['bus: 72%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=489'], ['car: 90%', 'Left=924,', 'Top=446,', 'Right=1062,', 'Bottom=547']]
87 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=793,', 'Bottom=674'], ['bus: 72%', 'Left=590,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 90%', 'Left=923,', 'Top=445,', 'Right=1062,', 'Bottom=546']]
88 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 73%', 'Left=590,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 89%', 'Left=924,', 'Top=444,', 'Right=1062,', 'Bottom=546']]
89 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 71%', 'Left=589,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 88%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
90 [['car: 100%', 'Left=491,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 71%', 'Left=590,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 88%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
91 [['car: 100%', 'Left=491,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=488'], ['car: 88%', 'Left=924,', 'Top=446,', 'Right=1060,', 'Bottom=545']]
92 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=673'], ['bus: 75%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=487'], ['car: 88%', 'Left=925,', 'Top=446,', 'Right=1060,', 'Bottom=545']]
93 [['car: 100%', 'Left=489,', 'Top=463,', 'Right=794,', 'Bottom=672'], ['bus: 76%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=924,', 'Top=446,', 'Right=1061,', 'Bottom=545']]
94 [['car: 100%', 'Left=489,', 'Top=463,', 'Right=794,', 'Bottom=672'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
95 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 73%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 85%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
96 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 84%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
97 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 75%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 85%', 'Left=924,', 'Top=445,', 'Right=1062,', 'Bottom=547']]
98 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 77%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 85%', 'Left=924,', 'Top=445,', 'Right=1062,', 'Bottom=546']]
99 [['car: 100%', 'Left=489,', 'Top=463,', 'Right=795,', 'Bottom=672'], ['bus: 77%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 86%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
100 [['car: 100%', 'Left=489,', 'Top=463,', 'Right=795,', 'Bottom=672'], ['bus: 78%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 87%', 'Left=924,', 'Top=445,', 'Right=1061,', 'Bottom=546']]
