1 []
2 []
3 [['car: 100%', 'Left=412,', 'Top=374,', 'Right=698,', 'Bottom=597'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=980,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 69%', 'Left=722,', 'Top=384,', 'Right=760,', 'Bottom=426'], ['truck: 50%', 'Left=322,', 'Top=311,', 'Right=498,', 'Bottom=400']]
4 [['car: 100%', 'Left=413,', 'Top=374,', 'Right=697,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 65%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 59%', 'Left=320,', 'Top=311,', 'Right=500,', 'Bottom=400']]
5 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=289,', 'Right=445,', 'Bottom=608'], ['car: 61%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 64%', 'Left=318,', 'Top=311,', 'Right=500,', 'Bottom=400']]
6 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=599'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=290,', 'Right=444,', 'Bottom=607'], ['truck: 68%', 'Left=316,', 'Top=311,', 'Right=499,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
7 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=291,', 'Right=442,', 'Bottom=607'], ['truck: 68%', 'Left=314,', 'Top=312,', 'Right=500,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
8 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 66%', 'Left=312,', 'Top=312,', 'Right=501,', 'Bottom=400']]
9 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 61%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
10 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 55%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
11 [['car: 100%', 'Left=418,', 'Top=372,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 50%', 'Left=310,', 'Top=311,', 'Right=503,', 'Bottom=399']]
12 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
25 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=694,', 'Bottom=597'], ['car: 100%', 'Left=806,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=6,', 'Top=284,', 'Right=442,', 'Bottom=610'], ['car: 54%', 'Left=723,', 'Top=385,', 'Right=759,', 'Bottom=424']]
26 [['car: 100%', 'Left=413,', 'Top=371,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=7,', 'Top=281,', 'Right=441,', 'Bottom=612'], ['car: 55%', 'Left=723,', 'Top=385,', 'Right=759,', 'Bottom=424']]
27 [['car: 100%', 'Left=413,', 'Top=370,', 'Right=695,', 'Bottom=597'], ['car: 99%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=10,', 'Top=280,', 'Right=441,', 'Bottom=613'], ['car: 57%', 'Left=722,', 'Top=385,', 'Right=759,', 'Bottom=424']]
28 [['car: 100%', 'Left=413,', 'Top=371,', 'Right=696,', 'Bottom=597'], ['car: 99%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=13,', 'Top=282,', 'Right=443,', 'Bottom=613'], ['car: 57%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=424']]
29 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=696,', 'Bottom=597'], ['car: 99%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 96%', 'Left=15,', 'Top=284,', 'Right=445,', 'Bottom=613'], ['car: 57%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=424']]
30 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=13,', 'Top=283,', 'Right=445,', 'Bottom=612'], ['car: 56%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=425']]
31 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=695,', 'Bottom=599'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=10,', 'Top=282,', 'Right=445,', 'Bottom=612'], ['car: 57%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=425']]
32 [['car: 100%', 'Left=414,', 'Top=370,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=6,', 'Top=281,', 'Right=442,', 'Bottom=613'], ['car: 57%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 51%', 'Left=326,', 'Top=309,', 'Right=505,', 'Bottom=402']]
33 [['car: 100%', 'Left=413,', 'Top=370,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=6,', 'Top=278,', 'Right=441,', 'Bottom=612'], ['car: 57%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
34 [['car: 100%', 'Left=414,', 'Top=370,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=5,', 'Top=279,', 'Right=441,', 'Bottom=611'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
35 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=4,', 'Top=279,', 'Right=440,', 'Bottom=610'], ['car: 61%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
36 [['car: 100%', 'Left=415,', 'Top=371,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 96%', 'Left=2,', 'Top=283,', 'Right=440,', 'Bottom=608'], ['car: 62%', 'Left=721,', 'Top=382,', 'Right=760,', 'Bottom=425'], ['truck: 53%', 'Left=323,', 'Top=311,', 'Right=499,', 'Bottom=401']]
37 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 95%', 'Left=3,', 'Top=283,', 'Right=439,', 'Bottom=607'], ['car: 61%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 55%', 'Left=323,', 'Top=311,', 'Right=499,', 'Bottom=401']]
38 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 95%', 'Left=6,', 'Top=285,', 'Right=441,', 'Bottom=607'], ['car: 61%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 52%', 'Left=322,', 'Top=311,', 'Right=499,', 'Bottom=401']]
39 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=694,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=285,', 'Right=443,', 'Bottom=606'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
40 [['car: 100%', 'Left=417,', 'Top=373,', 'Right=694,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=287,', 'Right=443,', 'Bottom=606'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
41 [['car: 100%', 'Left=418,', 'Top=373,', 'Right=694,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 93%', 'Left=5,', 'Top=291,', 'Right=442,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
42 [['car: 100%', 'Left=418,', 'Top=373,', 'Right=694,', 'Bottom=603'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 92%', 'Left=3,', 'Top=292,', 'Right=439,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
43 [['car: 100%', 'Left=417,', 'Top=373,', 'Right=695,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 93%', 'Left=2,', 'Top=292,', 'Right=438,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
44 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=695,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=289,', 'Right=438,', 'Bottom=605'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
45 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=696,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=0,', 'Top=287,', 'Right=439,', 'Bottom=604'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
46 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=696,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=0,', 'Top=286,', 'Right=439,', 'Bottom=604'], ['car: 56%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
47 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 95%', 'Left=0,', 'Top=285,', 'Right=439,', 'Bottom=603'], ['car: 56%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
48 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 95%', 'Left=1,', 'Top=284,', 'Right=438,', 'Bottom=603'], ['car: 56%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
49 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=602'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=977,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=283,', 'Right=437,', 'Bottom=603'], ['car: 55%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
50 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=283,', 'Right=437,', 'Bottom=603'], ['car: 56%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 52%', 'Left=325,', 'Top=309,', 'Right=500,', 'Bottom=402']]
51 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=492'], ['truck: 94%', 'Left=0,', 'Top=284,', 'Right=437,', 'Bottom=603'], ['car: 58%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 56%', 'Left=324,', 'Top=310,', 'Right=498,', 'Bottom=402']]
52 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=696,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=492'], ['truck: 94%', 'Left=0,', 'Top=284,', 'Right=438,', 'Bottom=603'], ['car: 59%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
53 [['car: 100%', 'Left=413,', 'Top=373,', 'Right=696,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=492'], ['truck: 94%', 'Left=0,', 'Top=284,', 'Right=439,', 'Bottom=603'], ['car: 59%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
54 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=601'], ['car: 100%', 'Left=806,', 'Top=379,', 'Right=978,', 'Bottom=492'], ['truck: 95%', 'Left=0,', 'Top=282,', 'Right=442,', 'Bottom=604'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
55 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=0,', 'Top=282,', 'Right=442,', 'Bottom=605'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
56 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=980,', 'Bottom=492'], ['truck: 95%', 'Left=1,', 'Top=283,', 'Right=443,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
57 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=980,', 'Bottom=492'], ['truck: 95%', 'Left=1,', 'Top=284,', 'Right=443,', 'Bottom=607'], ['car: 61%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
58 [['car: 100%', 'Left=414,', 'Top=372,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=1,', 'Top=285,', 'Right=443,', 'Bottom=607'], ['car: 62%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
59 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=1,', 'Top=285,', 'Right=443,', 'Bottom=607'], ['car: 62%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
60 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=695,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=2,', 'Top=285,', 'Right=443,', 'Bottom=607'], ['car: 62%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
61 [['car: 100%', 'Left=413,', 'Top=373,', 'Right=695,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=2,', 'Top=284,', 'Right=444,', 'Bottom=607'], ['car: 61%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
62 [['car: 100%', 'Left=412,', 'Top=373,', 'Right=695,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=3,', 'Top=285,', 'Right=445,', 'Bottom=609'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
63 [['car: 100%', 'Left=412,', 'Top=373,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 94%', 'Left=2,', 'Top=285,', 'Right=446,', 'Bottom=609'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
64 [['car: 100%', 'Left=412,', 'Top=372,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 94%', 'Left=1,', 'Top=286,', 'Right=447,', 'Bottom=609'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
65 [['car: 100%', 'Left=412,', 'Top=372,', 'Right=695,', 'Bottom=600'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 93%', 'Left=1,', 'Top=286,', 'Right=447,', 'Bottom=608'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
66 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=695,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 94%', 'Left=1,', 'Top=288,', 'Right=447,', 'Bottom=607'], ['car: 59%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
67 [['car: 100%', 'Left=413,', 'Top=372,', 'Right=694,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=2,', 'Top=287,', 'Right=447,', 'Bottom=606'], ['car: 59%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=425']]
