1 []
2 []
3 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=374'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 56%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
26 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 78%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 61%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 67%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
27 [['car: 90%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 78%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 62%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 67%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
28 [['car: 89%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 77%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 62%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380'], ['car: 67%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=377']]
29 [['car: 90%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 78%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 63%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380'], ['car: 69%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=377']]
30 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 78%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 61%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380'], ['car: 70%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
31 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=374'], ['car: 71%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=379']]
32 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=374'], ['car: 71%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 58%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
33 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=374'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=380']]
34 [['car: 90%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 58%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=380']]
35 [['car: 90%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=81,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=380'], ['car: 74%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 54%', 'Left=603,', 'Top=351,', 'Right=654,', 'Bottom=380']]
36 [['car: 89%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=81,', 'Bottom=375'], ['car: 73%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=380'], ['car: 74%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 55%', 'Left=603,', 'Top=351,', 'Right=655,', 'Bottom=380']]
37 [['car: 89%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=81,', 'Bottom=375'], ['car: 74%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 72%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 56%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
38 [['car: 89%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 76%', 'Left=43,', 'Top=351,', 'Right=81,', 'Bottom=375'], ['car: 71%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 73%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 57%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
39 [['car: 89%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 56%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=379']]
40 [['car: 89%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=655,', 'Bottom=379']]
41 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 71%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
42 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
43 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=655,', 'Bottom=379']]
44 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=42,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 71%', 'Left=153,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 56%', 'Left=607,', 'Top=351,', 'Right=655,', 'Bottom=379']]
45 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=42,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=655,', 'Bottom=379']]
46 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
47 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
48 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 82%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=380']]
49 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 82%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 60%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
50 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 69%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 60%', 'Left=605,', 'Top=352,', 'Right=655,', 'Bottom=380']]
51 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 61%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 67%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
52 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 60%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 67%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
53 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 82%', 'Left=42,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 60%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380'], ['car: 68%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378']]
54 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 81%', 'Left=42,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 69%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
55 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 70%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
56 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 70%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
57 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
58 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380']]
59 [['car: 92%', 'Left=402,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 72%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380']]
60 [['car: 91%', 'Left=402,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 73%', 'Left=152,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 55%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
61 [['car: 91%', 'Left=402,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=380'], ['car: 73%', 'Left=152,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=380']]
62 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 80%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=152,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=604,', 'Top=352,', 'Right=655,', 'Bottom=380']]
63 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 73%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=605,', 'Top=352,', 'Right=655,', 'Bottom=380']]
64 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 73%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380']]
65 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=318,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 60%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380']]
66 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 62%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
