1 []
2 []
3 [['car: 100%', 'Left=80,', 'Top=230,', 'Right=570,', 'Bottom=505']]
81 [['car: 100%', 'Left=84,', 'Top=230,', 'Right=566,', 'Bottom=510']]
82 [['car: 100%', 'Left=84,', 'Top=229,', 'Right=566,', 'Bottom=509']]
83 [['car: 100%', 'Left=84,', 'Top=229,', 'Right=565,', 'Bottom=509']]
84 [['car: 100%', 'Left=84,', 'Top=228,', 'Right=565,', 'Bottom=509']]
85 [['car: 100%', 'Left=84,', 'Top=229,', 'Right=565,', 'Bottom=510']]
86 [['car: 100%', 'Left=85,', 'Top=229,', 'Right=565,', 'Bottom=510']]
87 [['car: 100%', 'Left=85,', 'Top=230,', 'Right=565,', 'Bottom=510']]
88 [['car: 100%', 'Left=85,', 'Top=231,', 'Right=565,', 'Bottom=509']]
89 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=508']]
90 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=508']]
91 [['car: 100%', 'Left=85,', 'Top=231,', 'Right=566,', 'Bottom=508']]
92 [['car: 100%', 'Left=85,', 'Top=231,', 'Right=566,', 'Bottom=509']]
93 [['car: 100%', 'Left=85,', 'Top=231,', 'Right=566,', 'Bottom=510']]
94 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=510']]
95 [['car: 100%', 'Left=86,', 'Top=232,', 'Right=564,', 'Bottom=510']]
96 [['car: 100%', 'Left=86,', 'Top=233,', 'Right=564,', 'Bottom=510']]
97 [['car: 100%', 'Left=85,', 'Top=233,', 'Right=565,', 'Bottom=509']]
98 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=509']]
99 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=509']]
100 [['car: 100%', 'Left=85,', 'Top=232,', 'Right=565,', 'Bottom=510']]
