1 []
2 []
3 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=803,', 'Bottom=500'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=474,', 'Bottom=431'], ['car: 80%', 'Left=2,', 'Top=289,', 'Right=125,', 'Bottom=491']]
14 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=794,', 'Bottom=475'], ['truck: 90%', 'Left=146,', 'Top=223,', 'Right=473,', 'Bottom=433'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
15 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=794,', 'Bottom=474'], ['truck: 90%', 'Left=146,', 'Top=223,', 'Right=472,', 'Bottom=433'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
16 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=474'], ['truck: 90%', 'Left=145,', 'Top=223,', 'Right=472,', 'Bottom=432'], ['car: 77%', 'Left=1,', 'Top=286,', 'Right=126,', 'Bottom=491']]
17 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=473'], ['truck: 90%', 'Left=145,', 'Top=223,', 'Right=473,', 'Bottom=432'], ['car: 77%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
18 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=473'], ['truck: 91%', 'Left=144,', 'Top=223,', 'Right=474,', 'Bottom=432'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
19 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=794,', 'Bottom=473'], ['truck: 91%', 'Left=144,', 'Top=224,', 'Right=473,', 'Bottom=433'], ['car: 78%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
20 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=794,', 'Bottom=473'], ['truck: 92%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
21 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=473'], ['truck: 92%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
22 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=473'], ['truck: 92%', 'Left=144,', 'Top=224,', 'Right=474,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=491']]
23 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=473'], ['truck: 92%', 'Left=145,', 'Top=224,', 'Right=474,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
24 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=794,', 'Bottom=474'], ['truck: 91%', 'Left=146,', 'Top=224,', 'Right=474,', 'Bottom=436'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
25 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=795,', 'Bottom=475'], ['truck: 92%', 'Left=145,', 'Top=224,', 'Right=475,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
26 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=795,', 'Bottom=476'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
27 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=795,', 'Bottom=476'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
28 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=224,', 'Right=475,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
29 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=476'], ['truck: 93%', 'Left=145,', 'Top=224,', 'Right=475,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
30 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=794,', 'Bottom=477'], ['truck: 92%', 'Left=145,', 'Top=223,', 'Right=475,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
31 [['car: 100%', 'Left=551,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 92%', 'Left=145,', 'Top=224,', 'Right=474,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
32 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=145,', 'Top=225,', 'Right=474,', 'Bottom=437'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
33 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=792,', 'Bottom=478'], ['truck: 93%', 'Left=146,', 'Top=226,', 'Right=475,', 'Bottom=437'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
34 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=792,', 'Bottom=478'], ['truck: 92%', 'Left=147,', 'Top=226,', 'Right=475,', 'Bottom=437'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
35 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=792,', 'Bottom=477'], ['truck: 91%', 'Left=148,', 'Top=226,', 'Right=473,', 'Bottom=437'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
36 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=792,', 'Bottom=476'], ['truck: 91%', 'Left=147,', 'Top=226,', 'Right=472,', 'Bottom=437'], ['car: 78%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
37 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=792,', 'Bottom=476'], ['truck: 91%', 'Left=146,', 'Top=226,', 'Right=473,', 'Bottom=436'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
38 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=792,', 'Bottom=475'], ['truck: 92%', 'Left=146,', 'Top=225,', 'Right=473,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
39 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=792,', 'Bottom=475'], ['truck: 91%', 'Left=146,', 'Top=224,', 'Right=473,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
40 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=792,', 'Bottom=474'], ['truck: 91%', 'Left=147,', 'Top=222,', 'Right=472,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
41 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=792,', 'Bottom=475'], ['truck: 91%', 'Left=147,', 'Top=221,', 'Right=473,', 'Bottom=434'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491'], ['stop sign: 52%', 'Left=784,', 'Top=322,', 'Right=823,', 'Bottom=359']]
42 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=792,', 'Bottom=476'], ['truck: 91%', 'Left=147,', 'Top=221,', 'Right=473,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491'], ['stop sign: 51%', 'Left=784,', 'Top=322,', 'Right=823,', 'Bottom=359']]
43 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=792,', 'Bottom=477'], ['truck: 91%', 'Left=146,', 'Top=222,', 'Right=474,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491'], ['stop sign: 50%', 'Left=783,', 'Top=322,', 'Right=823,', 'Bottom=359']]
44 [['car: 100%', 'Left=552,', 'Top=313,', 'Right=791,', 'Bottom=477'], ['truck: 91%', 'Left=146,', 'Top=222,', 'Right=474,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
45 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=791,', 'Bottom=477'], ['truck: 91%', 'Left=147,', 'Top=222,', 'Right=473,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
46 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=792,', 'Bottom=477'], ['truck: 92%', 'Left=147,', 'Top=222,', 'Right=473,', 'Bottom=437'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
47 [['car: 100%', 'Left=553,', 'Top=312,', 'Right=792,', 'Bottom=478'], ['truck: 93%', 'Left=147,', 'Top=223,', 'Right=473,', 'Bottom=438'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
48 [['car: 100%', 'Left=553,', 'Top=311,', 'Right=792,', 'Bottom=479'], ['truck: 93%', 'Left=146,', 'Top=223,', 'Right=473,', 'Bottom=438'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
49 [['car: 100%', 'Left=553,', 'Top=311,', 'Right=792,', 'Bottom=479'], ['truck: 93%', 'Left=145,', 'Top=223,', 'Right=474,', 'Bottom=438'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
50 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=479'], ['truck: 93%', 'Left=144,', 'Top=223,', 'Right=474,', 'Bottom=438'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=490']]
51 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=792,', 'Bottom=477'], ['truck: 93%', 'Left=143,', 'Top=222,', 'Right=474,', 'Bottom=437'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
52 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=792,', 'Bottom=477'], ['truck: 93%', 'Left=143,', 'Top=222,', 'Right=474,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=290,', 'Right=126,', 'Bottom=491']]
53 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=793,', 'Bottom=477'], ['truck: 93%', 'Left=144,', 'Top=221,', 'Right=474,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
54 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=144,', 'Top=221,', 'Right=475,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
55 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=145,', 'Top=221,', 'Right=474,', 'Bottom=435'], ['car: 78%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
56 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=793,', 'Bottom=477'], ['truck: 93%', 'Left=145,', 'Top=221,', 'Right=474,', 'Bottom=435'], ['car: 77%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
57 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=793,', 'Bottom=477'], ['truck: 94%', 'Left=146,', 'Top=221,', 'Right=474,', 'Bottom=435'], ['car: 77%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
58 [['car: 100%', 'Left=551,', 'Top=312,', 'Right=793,', 'Bottom=478'], ['truck: 94%', 'Left=146,', 'Top=222,', 'Right=473,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=491']]
59 [['car: 100%', 'Left=552,', 'Top=312,', 'Right=792,', 'Bottom=479'], ['truck: 95%', 'Left=146,', 'Top=224,', 'Right=474,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=491']]
60 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=480'], ['truck: 95%', 'Left=146,', 'Top=225,', 'Right=474,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
61 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 96%', 'Left=147,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
62 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=500'], ['truck: 96%', 'Left=146,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
63 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=500'], ['truck: 96%', 'Left=146,', 'Top=226,', 'Right=476,', 'Bottom=435'], ['car: 78%', 'Left=2,', 'Top=287,', 'Right=126,', 'Bottom=491']]
64 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 96%', 'Left=145,', 'Top=225,', 'Right=476,', 'Bottom=435'], ['car: 77%', 'Left=2,', 'Top=286,', 'Right=125,', 'Bottom=492']]
65 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 96%', 'Left=145,', 'Top=225,', 'Right=476,', 'Bottom=435'], ['car: 78%', 'Left=2,', 'Top=286,', 'Right=126,', 'Bottom=492']]
66 [['car: 99%', 'Left=544,', 'Top=298,', 'Right=807,', 'Bottom=499'], ['truck: 96%', 'Left=144,', 'Top=225,', 'Right=477,', 'Bottom=435'], ['car: 78%', 'Left=2,', 'Top=286,', 'Right=126,', 'Bottom=492']]
67 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=481'], ['truck: 96%', 'Left=144,', 'Top=224,', 'Right=477,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
68 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=480'], ['truck: 96%', 'Left=144,', 'Top=224,', 'Right=477,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
69 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=481'], ['truck: 96%', 'Left=143,', 'Top=224,', 'Right=477,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
70 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=792,', 'Bottom=481'], ['truck: 95%', 'Left=143,', 'Top=224,', 'Right=477,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=491']]
71 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=481'], ['truck: 95%', 'Left=143,', 'Top=225,', 'Right=476,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
72 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=481'], ['truck: 94%', 'Left=143,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
73 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=143,', 'Top=225,', 'Right=474,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
74 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=143,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
75 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=143,', 'Top=225,', 'Right=475,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
76 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=143,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
77 [['car: 99%', 'Left=544,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=142,', 'Top=225,', 'Right=477,', 'Bottom=436'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
78 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=142,', 'Top=225,', 'Right=477,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
79 [['car: 99%', 'Left=545,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=142,', 'Top=225,', 'Right=477,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
80 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=143,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
81 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=142,', 'Top=224,', 'Right=477,', 'Bottom=436'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
82 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=807,', 'Bottom=500'], ['truck: 94%', 'Left=142,', 'Top=224,', 'Right=477,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
83 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=806,', 'Bottom=500'], ['truck: 94%', 'Left=142,', 'Top=225,', 'Right=477,', 'Bottom=436'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
84 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 94%', 'Left=141,', 'Top=225,', 'Right=476,', 'Bottom=436'], ['car: 80%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
85 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 93%', 'Left=141,', 'Top=226,', 'Right=476,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
86 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 93%', 'Left=142,', 'Top=226,', 'Right=476,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
87 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 93%', 'Left=143,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=491']]
88 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 93%', 'Left=144,', 'Top=227,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=491']]
89 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=480'], ['truck: 93%', 'Left=144,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=127,', 'Bottom=492']]
90 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=479'], ['truck: 93%', 'Left=143,', 'Top=226,', 'Right=475,', 'Bottom=435'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=127,', 'Bottom=492']]
91 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=479'], ['truck: 93%', 'Left=143,', 'Top=225,', 'Right=476,', 'Bottom=435'], ['car: 81%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
92 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=792,', 'Bottom=479'], ['truck: 93%', 'Left=142,', 'Top=224,', 'Right=476,', 'Bottom=435'], ['car: 80%', 'Left=1,', 'Top=289,', 'Right=126,', 'Bottom=492']]
93 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=142,', 'Top=224,', 'Right=475,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
94 [['car: 100%', 'Left=551,', 'Top=311,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=142,', 'Top=225,', 'Right=475,', 'Bottom=435'], ['car: 79%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
95 [['car: 100%', 'Left=552,', 'Top=311,', 'Right=793,', 'Bottom=478'], ['truck: 93%', 'Left=143,', 'Top=225,', 'Right=476,', 'Bottom=435'], ['car: 77%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=491']]
96 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=793,', 'Bottom=479'], ['truck: 94%', 'Left=142,', 'Top=225,', 'Right=477,', 'Bottom=434'], ['car: 76%', 'Left=2,', 'Top=288,', 'Right=126,', 'Bottom=491']]
97 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=793,', 'Bottom=479'], ['truck: 94%', 'Left=142,', 'Top=224,', 'Right=478,', 'Bottom=435'], ['car: 75%', 'Left=2,', 'Top=288,', 'Right=126,', 'Bottom=491']]
98 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=793,', 'Bottom=479'], ['truck: 94%', 'Left=142,', 'Top=224,', 'Right=478,', 'Bottom=435'], ['car: 75%', 'Left=2,', 'Top=288,', 'Right=126,', 'Bottom=491']]
99 [['car: 100%', 'Left=552,', 'Top=310,', 'Right=793,', 'Bottom=479'], ['truck: 95%', 'Left=142,', 'Top=224,', 'Right=478,', 'Bottom=435'], ['car: 74%', 'Left=2,', 'Top=288,', 'Right=126,', 'Bottom=491']]
100 [['car: 99%', 'Left=547,', 'Top=295,', 'Right=807,', 'Bottom=500'], ['truck: 95%', 'Left=142,', 'Top=223,', 'Right=478,', 'Bottom=435'], ['car: 74%', 'Left=2,', 'Top=289,', 'Right=126,', 'Bottom=491']]
