1 []
2 []
3 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 53%', 'Left=606,', 'Top=351,', 'Right=652,', 'Bottom=379']]
14 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 58%', 'Left=607,', 'Top=352,', 'Right=652,', 'Bottom=380']]
15 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 58%', 'Left=607,', 'Top=353,', 'Right=652,', 'Bottom=380']]
16 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=607,', 'Top=352,', 'Right=652,', 'Bottom=380']]
17 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 61%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380']]
18 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 76%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 62%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 72%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378']]
19 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 62%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
20 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 60%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380']]
21 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=397,', 'Bottom=379'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=607,', 'Top=351,', 'Right=653,', 'Bottom=380']]
22 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 74%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=607,', 'Top=351,', 'Right=654,', 'Bottom=380']]
23 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 79%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 74%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=607,', 'Top=351,', 'Right=654,', 'Bottom=380']]
24 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 70%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 54%', 'Left=607,', 'Top=351,', 'Right=654,', 'Bottom=380']]
25 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 53%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
26 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 54%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
27 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=394,', 'Bottom=379'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=376'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 55%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380']]
28 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=394,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=376'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=379']]
29 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=394,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
30 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 79%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
31 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
32 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 76%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
33 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
34 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=394,', 'Bottom=379'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=376'], ['car: 74%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 62%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
35 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=376'], ['car: 63%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
36 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=44,', 'Top=350,', 'Right=82,', 'Bottom=376'], ['car: 63%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
37 [['car: 92%', 'Left=403,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 74%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=350,', 'Right=82,', 'Bottom=376'], ['car: 74%', 'Left=154,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 62%', 'Left=606,', 'Top=350,', 'Right=653,', 'Bottom=379']]
38 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 72%', 'Left=324,', 'Top=349,', 'Right=428,', 'Bottom=377'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 60%', 'Left=606,', 'Top=350,', 'Right=653,', 'Bottom=379']]
39 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 74%', 'Left=323,', 'Top=350,', 'Right=429,', 'Bottom=377'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
40 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 75%', 'Left=323,', 'Top=350,', 'Right=430,', 'Bottom=377'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
41 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 74%', 'Left=323,', 'Top=350,', 'Right=430,', 'Bottom=377'], ['car: 77%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
42 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=324,', 'Top=349,', 'Right=429,', 'Bottom=378'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=379']]
43 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 76%', 'Left=154,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 71%', 'Left=324,', 'Top=349,', 'Right=428,', 'Bottom=378'], ['car: 57%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
44 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 78%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 76%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 58%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
45 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 76%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 59%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=379']]
46 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 72%', 'Left=325,', 'Top=349,', 'Right=427,', 'Bottom=378'], ['car: 76%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 76%', 'Left=152,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 58%', 'Left=606,', 'Top=350,', 'Right=653,', 'Bottom=379']]
47 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 72%', 'Left=324,', 'Top=349,', 'Right=427,', 'Bottom=378'], ['car: 76%', 'Left=152,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 75%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 57%', 'Left=605,', 'Top=350,', 'Right=653,', 'Bottom=379']]
48 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=152,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 70%', 'Left=324,', 'Top=349,', 'Right=427,', 'Bottom=378'], ['car: 56%', 'Left=605,', 'Top=350,', 'Right=653,', 'Bottom=379']]
49 [['car: 91%', 'Left=405,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 76%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 77%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 56%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
50 [['car: 91%', 'Left=405,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 55%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
51 [['car: 91%', 'Left=405,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=350,', 'Right=208,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 54%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
52 [['car: 91%', 'Left=405,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=350,', 'Right=208,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 52%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
53 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 74%', 'Left=43,', 'Top=350,', 'Right=81,', 'Bottom=375'], ['car: 52%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
54 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=380'], ['car: 76%', 'Left=43,', 'Top=350,', 'Right=81,', 'Bottom=375'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 53%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=379']]
55 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=380'], ['car: 77%', 'Left=43,', 'Top=350,', 'Right=81,', 'Bottom=375'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 56%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=379']]
56 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=81,', 'Bottom=375'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=377'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=379']]
57 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=81,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=377'], ['car: 58%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=379']]
58 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
59 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=351,', 'Right=653,', 'Bottom=380']]
60 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 75%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 55%', 'Left=606,', 'Top=352,', 'Right=654,', 'Bottom=380']]
61 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 54%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380']]
62 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 75%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380']]
63 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 74%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 71%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380']]
64 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 75%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 62%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 72%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 71%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375']]
65 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 69%', 'Left=44,', 'Top=351,', 'Right=82,', 'Bottom=375']]
66 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 60%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 68%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375']]
