1 []
2 []
3 [['person: 68%', 'Left=732,', 'Top=228,', 'Right=755,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=684'], ['person: 64%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
16 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1249,', 'Bottom=685'], ['person: 59%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
17 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1250,', 'Bottom=684'], ['person: 61%', 'Left=731,', 'Top=227,', 'Right=755,', 'Bottom=270'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
18 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1252,', 'Bottom=685'], ['person: 63%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
19 [['car: 84%', 'Left=0,', 'Top=489,', 'Right=1251,', 'Bottom=685'], ['person: 63%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
20 [['car: 84%', 'Left=0,', 'Top=489,', 'Right=1253,', 'Bottom=685'], ['person: 62%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
21 [['car: 85%', 'Left=0,', 'Top=489,', 'Right=1253,', 'Bottom=685'], ['person: 62%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
22 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1254,', 'Bottom=685'], ['person: 62%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
23 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1253,', 'Bottom=685'], ['person: 63%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
24 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1252,', 'Bottom=686'], ['person: 63%', 'Left=731,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
25 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1255,', 'Bottom=686'], ['person: 65%', 'Left=731,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
26 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1256,', 'Bottom=685'], ['person: 67%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
27 [['car: 80%', 'Left=0,', 'Top=487,', 'Right=1259,', 'Bottom=685'], ['person: 69%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=292']]
28 [['person: 70%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['car: 80%', 'Left=0,', 'Top=487,', 'Right=1258,', 'Bottom=684'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
29 [['person: 71%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=487,', 'Right=1258,', 'Bottom=684'], ['person: 57%', 'Left=462,', 'Top=255,', 'Right=484,', 'Bottom=292']]
30 [['car: 81%', 'Left=0,', 'Top=488,', 'Right=1258,', 'Bottom=684'], ['person: 71%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
31 [['car: 81%', 'Left=0,', 'Top=488,', 'Right=1259,', 'Bottom=684'], ['person: 70%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
32 [['car: 81%', 'Left=0,', 'Top=488,', 'Right=1260,', 'Bottom=684'], ['person: 70%', 'Left=731,', 'Top=226,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
33 [['car: 82%', 'Left=0,', 'Top=488,', 'Right=1259,', 'Bottom=683'], ['person: 70%', 'Left=731,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
34 [['car: 83%', 'Left=0,', 'Top=488,', 'Right=1260,', 'Bottom=683'], ['person: 70%', 'Left=731,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 56%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
35 [['car: 83%', 'Left=0,', 'Top=488,', 'Right=1260,', 'Bottom=683'], ['person: 70%', 'Left=731,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
36 [['car: 82%', 'Left=0,', 'Top=488,', 'Right=1260,', 'Bottom=683'], ['person: 69%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
37 [['car: 82%', 'Left=0,', 'Top=488,', 'Right=1258,', 'Bottom=683'], ['person: 68%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=254,', 'Right=484,', 'Bottom=292']]
38 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1256,', 'Bottom=683'], ['person: 68%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=484,', 'Bottom=292']]
39 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=684'], ['person: 66%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=484,', 'Bottom=292']]
40 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1253,', 'Bottom=684'], ['person: 65%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=484,', 'Bottom=292']]
41 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1253,', 'Bottom=684'], ['person: 65%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
42 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=684'], ['person: 64%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
43 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=684'], ['person: 64%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
44 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1253,', 'Bottom=684'], ['person: 65%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
45 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1252,', 'Bottom=684'], ['person: 65%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
46 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1252,', 'Bottom=684'], ['person: 64%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 54%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
47 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1252,', 'Bottom=684'], ['person: 63%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 54%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=293']]
48 [['car: 84%', 'Left=0,', 'Top=493,', 'Right=1170,', 'Bottom=674'], ['person: 63%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 54%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=293']]
49 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1251,', 'Bottom=684'], ['person: 62%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 56%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
50 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1251,', 'Bottom=684'], ['person: 63%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
51 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1251,', 'Bottom=684'], ['person: 63%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
52 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1252,', 'Bottom=684'], ['person: 63%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
53 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 64%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
54 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 64%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
55 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 64%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
56 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1253,', 'Bottom=684'], ['person: 64%', 'Left=733,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
57 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=684'], ['person: 66%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=269'], ['person: 59%', 'Left=461,', 'Top=253,', 'Right=483,', 'Bottom=292']]
58 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=684'], ['person: 67%', 'Left=732,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=461,', 'Top=253,', 'Right=483,', 'Bottom=292']]
59 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1250,', 'Bottom=684'], ['person: 68%', 'Left=732,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=461,', 'Top=253,', 'Right=483,', 'Bottom=292']]
60 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1250,', 'Bottom=684'], ['person: 68%', 'Left=732,', 'Top=226,', 'Right=754,', 'Bottom=269'], ['person: 60%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=292']]
61 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=684'], ['person: 67%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
62 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=683'], ['person: 65%', 'Left=732,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
63 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
64 [['car: 83%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=684'], ['person: 64%', 'Left=733,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
65 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
66 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1254,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=254,', 'Right=483,', 'Bottom=293']]
67 [['car: 83%', 'Left=0,', 'Top=485,', 'Right=1254,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
68 [['car: 83%', 'Left=0,', 'Top=485,', 'Right=1255,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
69 [['car: 83%', 'Left=0,', 'Top=484,', 'Right=1257,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
70 [['car: 82%', 'Left=0,', 'Top=484,', 'Right=1257,', 'Bottom=683'], ['person: 64%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
71 [['car: 82%', 'Left=0,', 'Top=484,', 'Right=1258,', 'Bottom=684'], ['person: 65%', 'Left=733,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 64%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
72 [['car: 81%', 'Left=0,', 'Top=484,', 'Right=1258,', 'Bottom=683'], ['person: 65%', 'Left=733,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 65%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
73 [['car: 80%', 'Left=0,', 'Top=484,', 'Right=1257,', 'Bottom=683'], ['person: 65%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 65%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=293']]
74 [['car: 79%', 'Left=0,', 'Top=484,', 'Right=1255,', 'Bottom=682'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
75 [['car: 78%', 'Left=0,', 'Top=485,', 'Right=1252,', 'Bottom=682'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
76 [['car: 78%', 'Left=0,', 'Top=484,', 'Right=1250,', 'Bottom=682'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=461,', 'Top=256,', 'Right=483,', 'Bottom=292']]
77 [['car: 78%', 'Left=0,', 'Top=484,', 'Right=1248,', 'Bottom=682'], ['person: 66%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
78 [['car: 78%', 'Left=0,', 'Top=484,', 'Right=1247,', 'Bottom=682'], ['person: 66%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
79 [['car: 78%', 'Left=0,', 'Top=485,', 'Right=1248,', 'Bottom=682'], ['person: 66%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
80 [['car: 79%', 'Left=0,', 'Top=486,', 'Right=1249,', 'Bottom=682'], ['person: 65%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
81 [['car: 79%', 'Left=0,', 'Top=486,', 'Right=1251,', 'Bottom=682'], ['person: 64%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
82 [['car: 80%', 'Left=0,', 'Top=486,', 'Right=1253,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=229,', 'Right=753,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
83 [['car: 80%', 'Left=0,', 'Top=485,', 'Right=1254,', 'Bottom=682'], ['person: 61%', 'Left=733,', 'Top=230,', 'Right=753,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
84 [['car: 80%', 'Left=0,', 'Top=485,', 'Right=1253,', 'Bottom=682'], ['person: 61%', 'Left=733,', 'Top=230,', 'Right=753,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
85 [['car: 81%', 'Left=0,', 'Top=485,', 'Right=1252,', 'Bottom=683'], ['person: 61%', 'Left=733,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
86 [['car: 82%', 'Left=0,', 'Top=485,', 'Right=1252,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
87 [['car: 83%', 'Left=0,', 'Top=485,', 'Right=1253,', 'Bottom=683'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
88 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1255,', 'Bottom=683'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
89 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1253,', 'Bottom=683'], ['person: 63%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
90 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1250,', 'Bottom=683'], ['person: 63%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
91 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1249,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
92 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1249,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
93 [['car: 85%', 'Left=0,', 'Top=486,', 'Right=1249,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=755,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
94 [['car: 85%', 'Left=0,', 'Top=487,', 'Right=1248,', 'Bottom=682'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=755,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
95 [['car: 85%', 'Left=0,', 'Top=487,', 'Right=1248,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=755,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
96 [['car: 84%', 'Left=0,', 'Top=487,', 'Right=1248,', 'Bottom=683'], ['person: 62%', 'Left=732,', 'Top=231,', 'Right=755,', 'Bottom=270'], ['person: 62%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
97 [['car: 84%', 'Left=0,', 'Top=486,', 'Right=1248,', 'Bottom=683'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
98 [['car: 83%', 'Left=0,', 'Top=486,', 'Right=1249,', 'Bottom=684'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
99 [['car: 83%', 'Left=0,', 'Top=494,', 'Right=1175,', 'Bottom=673'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
100 [['car: 83%', 'Left=0,', 'Top=494,', 'Right=1175,', 'Bottom=673'], ['person: 63%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 63%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
