1 []
2 []
3 [['bus: 66%', 'Left=467,', 'Top=256,', 'Right=611,', 'Bottom=470'], ['truck: 63%', 'Left=0,', 'Top=269,', 'Right=262,', 'Bottom=624']]
22 [['bus: 64%', 'Left=474,', 'Top=253,', 'Right=619,', 'Bottom=476'], ['car: 93%', 'Left=41,', 'Top=312,', 'Right=409,', 'Bottom=583']]
23 [['bus: 60%', 'Left=475,', 'Top=253,', 'Right=620,', 'Bottom=475'], ['car: 91%', 'Left=51,', 'Top=310,', 'Right=416,', 'Bottom=584']]
24 [['bus: 54%', 'Left=476,', 'Top=253,', 'Right=621,', 'Bottom=475'], ['car: 88%', 'Left=63,', 'Top=309,', 'Right=422,', 'Bottom=581']]
25 [['truck: 54%', 'Left=477,', 'Top=254,', 'Right=623,', 'Bottom=474'], ['car: 87%', 'Left=72,', 'Top=309,', 'Right=425,', 'Bottom=581']]
26 [['bus: 51%', 'Left=479,', 'Top=255,', 'Right=625,', 'Bottom=473'], ['truck: 51%', 'Left=80,', 'Top=311,', 'Right=433,', 'Bottom=578']]
27 [['truck: 53%', 'Left=481,', 'Top=255,', 'Right=629,', 'Bottom=474'], ['car: 86%', 'Left=86,', 'Top=313,', 'Right=441,', 'Bottom=577']]
28 [['truck: 52%', 'Left=483,', 'Top=254,', 'Right=632,', 'Bottom=475'], ['car: 85%', 'Left=93,', 'Top=315,', 'Right=449,', 'Bottom=578']]
29 [['truck: 62%', 'Left=485,', 'Top=255,', 'Right=635,', 'Bottom=475'], ['car: 87%', 'Left=98,', 'Top=315,', 'Right=453,', 'Bottom=582']]
30 [['truck: 57%', 'Left=486,', 'Top=255,', 'Right=637,', 'Bottom=474'], ['car: 89%', 'Left=103,', 'Top=317,', 'Right=458,', 'Bottom=581']]
31 [['truck: 55%', 'Left=487,', 'Top=256,', 'Right=639,', 'Bottom=473'], ['car: 93%', 'Left=108,', 'Top=318,', 'Right=464,', 'Bottom=581']]
32 [['car: 95%', 'Left=119,', 'Top=322,', 'Right=484,', 'Bottom=581']]
33 [['car: 97%', 'Left=123,', 'Top=322,', 'Right=484,', 'Bottom=579'], ['truck: 53%', 'Left=492,', 'Top=257,', 'Right=644,', 'Bottom=472']]
34 [['car: 98%', 'Left=128,', 'Top=322,', 'Right=483,', 'Bottom=574']]
35 [['car: 98%', 'Left=135,', 'Top=322,', 'Right=484,', 'Bottom=571'], ['truck: 62%', 'Left=501,', 'Top=258,', 'Right=648,', 'Bottom=471']]
36 [['car: 98%', 'Left=144,', 'Top=321,', 'Right=485,', 'Bottom=569'], ['truck: 68%', 'Left=506,', 'Top=257,', 'Right=650,', 'Bottom=471']]
37 [['car: 98%', 'Left=150,', 'Top=320,', 'Right=487,', 'Bottom=569'], ['truck: 79%', 'Left=503,', 'Top=263,', 'Right=661,', 'Bottom=465']]
38 [['car: 97%', 'Left=157,', 'Top=319,', 'Right=488,', 'Bottom=570'], ['truck: 76%', 'Left=504,', 'Top=263,', 'Right=664,', 'Bottom=464']]
39 [['car: 98%', 'Left=165,', 'Top=321,', 'Right=489,', 'Bottom=567'], ['truck: 71%', 'Left=516,', 'Top=260,', 'Right=656,', 'Bottom=466']]
40 [['car: 98%', 'Left=174,', 'Top=322,', 'Right=491,', 'Bottom=565'], ['truck: 64%', 'Left=516,', 'Top=261,', 'Right=659,', 'Bottom=465']]
41 [['car: 98%', 'Left=179,', 'Top=322,', 'Right=496,', 'Bottom=562'], ['truck: 60%', 'Left=520,', 'Top=251,', 'Right=667,', 'Bottom=474']]
42 [['car: 98%', 'Left=185,', 'Top=322,', 'Right=502,', 'Bottom=560'], ['truck: 66%', 'Left=522,', 'Top=252,', 'Right=669,', 'Bottom=474']]
43 [['car: 99%', 'Left=193,', 'Top=320,', 'Right=509,', 'Bottom=558'], ['truck: 80%', 'Left=525,', 'Top=254,', 'Right=670,', 'Bottom=472']]
44 [['car: 99%', 'Left=199,', 'Top=318,', 'Right=516,', 'Bottom=558'], ['truck: 87%', 'Left=529,', 'Top=256,', 'Right=672,', 'Bottom=469']]
45 [['car: 99%', 'Left=204,', 'Top=317,', 'Right=519,', 'Bottom=558'], ['truck: 85%', 'Left=531,', 'Top=258,', 'Right=675,', 'Bottom=468']]
46 [['car: 99%', 'Left=210,', 'Top=316,', 'Right=524,', 'Bottom=558'], ['truck: 80%', 'Left=530,', 'Top=253,', 'Right=677,', 'Bottom=460']]
47 [['car: 99%', 'Left=216,', 'Top=316,', 'Right=526,', 'Bottom=558'], ['truck: 69%', 'Left=536,', 'Top=257,', 'Right=682,', 'Bottom=469']]
48 [['car: 99%', 'Left=221,', 'Top=316,', 'Right=530,', 'Bottom=558'], ['truck: 68%', 'Left=538,', 'Top=258,', 'Right=684,', 'Bottom=469']]
49 [['car: 99%', 'Left=225,', 'Top=316,', 'Right=530,', 'Bottom=560'], ['truck: 71%', 'Left=538,', 'Top=258,', 'Right=685,', 'Bottom=469']]
50 [['car: 99%', 'Left=229,', 'Top=317,', 'Right=532,', 'Bottom=561'], ['truck: 82%', 'Left=539,', 'Top=258,', 'Right=688,', 'Bottom=469']]
51 [['car: 99%', 'Left=234,', 'Top=318,', 'Right=533,', 'Bottom=562'], ['truck: 87%', 'Left=541,', 'Top=258,', 'Right=690,', 'Bottom=469']]
52 [['car: 99%', 'Left=237,', 'Top=319,', 'Right=534,', 'Bottom=561'], ['truck: 87%', 'Left=544,', 'Top=258,', 'Right=692,', 'Bottom=469']]
53 [['car: 99%', 'Left=239,', 'Top=321,', 'Right=534,', 'Bottom=559'], ['truck: 89%', 'Left=546,', 'Top=259,', 'Right=693,', 'Bottom=468']]
54 [['car: 99%', 'Left=242,', 'Top=320,', 'Right=532,', 'Bottom=556'], ['truck: 90%', 'Left=548,', 'Top=260,', 'Right=694,', 'Bottom=468']]
55 [['car: 99%', 'Left=244,', 'Top=320,', 'Right=531,', 'Bottom=554'], ['truck: 91%', 'Left=551,', 'Top=260,', 'Right=696,', 'Bottom=467']]
56 [['car: 98%', 'Left=243,', 'Top=324,', 'Right=556,', 'Bottom=555'], ['truck: 92%', 'Left=552,', 'Top=261,', 'Right=697,', 'Bottom=467']]
57 [['car: 98%', 'Left=246,', 'Top=324,', 'Right=554,', 'Bottom=553'], ['truck: 91%', 'Left=554,', 'Top=260,', 'Right=698,', 'Bottom=467']]
58 [['car: 98%', 'Left=247,', 'Top=325,', 'Right=555,', 'Bottom=552'], ['truck: 86%', 'Left=557,', 'Top=260,', 'Right=699,', 'Bottom=467']]
59 [['car: 99%', 'Left=248,', 'Top=326,', 'Right=557,', 'Bottom=551'], ['truck: 81%', 'Left=561,', 'Top=260,', 'Right=700,', 'Bottom=466']]
60 [['car: 99%', 'Left=248,', 'Top=327,', 'Right=562,', 'Bottom=550'], ['truck: 79%', 'Left=554,', 'Top=269,', 'Right=713,', 'Bottom=461']]
61 [['car: 99%', 'Left=249,', 'Top=327,', 'Right=569,', 'Bottom=549'], ['truck: 82%', 'Left=555,', 'Top=269,', 'Right=714,', 'Bottom=461']]
62 [['car: 99%', 'Left=254,', 'Top=326,', 'Right=574,', 'Bottom=550'], ['truck: 80%', 'Left=557,', 'Top=269,', 'Right=713,', 'Bottom=462']]
63 [['car: 99%', 'Left=261,', 'Top=326,', 'Right=577,', 'Bottom=551'], ['truck: 83%', 'Left=558,', 'Top=269,', 'Right=714,', 'Bottom=463']]
64 [['car: 99%', 'Left=269,', 'Top=326,', 'Right=574,', 'Bottom=552'], ['truck: 83%', 'Left=558,', 'Top=270,', 'Right=715,', 'Bottom=462']]
65 [['car: 99%', 'Left=274,', 'Top=326,', 'Right=572,', 'Bottom=551'], ['truck: 85%', 'Left=558,', 'Top=270,', 'Right=716,', 'Bottom=462']]
66 [['car: 99%', 'Left=279,', 'Top=326,', 'Right=573,', 'Bottom=550'], ['truck: 83%', 'Left=568,', 'Top=266,', 'Right=716,', 'Bottom=464']]
67 [['car: 99%', 'Left=283,', 'Top=325,', 'Right=575,', 'Bottom=550'], ['truck: 80%', 'Left=568,', 'Top=264,', 'Right=717,', 'Bottom=463']]
68 [['car: 99%', 'Left=288,', 'Top=323,', 'Right=576,', 'Bottom=549'], ['truck: 80%', 'Left=568,', 'Top=264,', 'Right=718,', 'Bottom=462']]
69 [['car: 99%', 'Left=292,', 'Top=321,', 'Right=578,', 'Bottom=549'], ['truck: 75%', 'Left=573,', 'Top=257,', 'Right=716,', 'Bottom=470']]
70 [['car: 99%', 'Left=299,', 'Top=321,', 'Right=583,', 'Bottom=550'], ['truck: 81%', 'Left=574,', 'Top=259,', 'Right=716,', 'Bottom=469']]
71 [['car: 99%', 'Left=305,', 'Top=323,', 'Right=587,', 'Bottom=551'], ['truck: 80%', 'Left=576,', 'Top=262,', 'Right=716,', 'Bottom=468']]
72 [['car: 98%', 'Left=310,', 'Top=325,', 'Right=589,', 'Bottom=552'], ['truck: 69%', 'Left=576,', 'Top=264,', 'Right=716,', 'Bottom=468']]
73 [['car: 98%', 'Left=311,', 'Top=328,', 'Right=590,', 'Bottom=554'], ['truck: 57%', 'Left=577,', 'Top=267,', 'Right=716,', 'Bottom=468']]
74 [['car: 98%', 'Left=313,', 'Top=329,', 'Right=591,', 'Bottom=555'], ['bus: 71%', 'Left=577,', 'Top=269,', 'Right=717,', 'Bottom=469']]
75 [['car: 96%', 'Left=327,', 'Top=347,', 'Right=577,', 'Bottom=540'], ['bus: 73%', 'Left=577,', 'Top=270,', 'Right=718,', 'Bottom=469']]
76 [['car: 96%', 'Left=330,', 'Top=348,', 'Right=578,', 'Bottom=537'], ['bus: 77%', 'Left=577,', 'Top=270,', 'Right=718,', 'Bottom=469']]
77 [['car: 98%', 'Left=333,', 'Top=348,', 'Right=579,', 'Bottom=536'], ['bus: 73%', 'Left=578,', 'Top=270,', 'Right=719,', 'Bottom=469']]
78 [['car: 98%', 'Left=338,', 'Top=346,', 'Right=578,', 'Bottom=534'], ['truck: 61%', 'Left=578,', 'Top=270,', 'Right=719,', 'Bottom=468']]
79 [['car: 98%', 'Left=331,', 'Top=323,', 'Right=596,', 'Bottom=553'], ['truck: 75%', 'Left=579,', 'Top=268,', 'Right=720,', 'Bottom=468']]
80 [['car: 98%', 'Left=336,', 'Top=321,', 'Right=597,', 'Bottom=552'], ['truck: 63%', 'Left=578,', 'Top=264,', 'Right=720,', 'Bottom=469']]
81 [['car: 98%', 'Left=339,', 'Top=321,', 'Right=597,', 'Bottom=551'], ['truck: 52%', 'Left=577,', 'Top=261,', 'Right=721,', 'Bottom=470']]
82 [['car: 98%', 'Left=344,', 'Top=321,', 'Right=597,', 'Bottom=551'], ['truck: 50%', 'Left=576,', 'Top=259,', 'Right=721,', 'Bottom=470']]
83 [['car: 98%', 'Left=347,', 'Top=322,', 'Right=598,', 'Bottom=551'], ['truck: 64%', 'Left=576,', 'Top=260,', 'Right=721,', 'Bottom=470']]
84 [['car: 97%', 'Left=355,', 'Top=342,', 'Right=577,', 'Bottom=531'], ['truck: 78%', 'Left=576,', 'Top=260,', 'Right=721,', 'Bottom=471']]
85 [['car: 94%', 'Left=357,', 'Top=343,', 'Right=577,', 'Bottom=530'], ['truck: 84%', 'Left=577,', 'Top=261,', 'Right=721,', 'Bottom=470']]
86 [['car: 94%', 'Left=360,', 'Top=343,', 'Right=578,', 'Bottom=530'], ['truck: 76%', 'Left=577,', 'Top=263,', 'Right=722,', 'Bottom=470']]
87 [['car: 91%', 'Left=363,', 'Top=344,', 'Right=578,', 'Bottom=531'], ['truck: 75%', 'Left=577,', 'Top=265,', 'Right=722,', 'Bottom=470']]
88 [['car: 95%', 'Left=365,', 'Top=345,', 'Right=577,', 'Bottom=531'], ['truck: 71%', 'Left=577,', 'Top=267,', 'Right=722,', 'Bottom=470']]
89 [['car: 93%', 'Left=368,', 'Top=345,', 'Right=577,', 'Bottom=531'], ['truck: 75%', 'Left=577,', 'Top=268,', 'Right=722,', 'Bottom=470']]
90 [['car: 95%', 'Left=370,', 'Top=345,', 'Right=577,', 'Bottom=531'], ['truck: 62%', 'Left=577,', 'Top=269,', 'Right=723,', 'Bottom=471']]
91 [['car: 95%', 'Left=372,', 'Top=344,', 'Right=577,', 'Bottom=532'], ['truck: 52%', 'Left=576,', 'Top=270,', 'Right=724,', 'Bottom=471']]
92 [['car: 97%', 'Left=375,', 'Top=344,', 'Right=576,', 'Bottom=532'], ['bus: 84%', 'Left=576,', 'Top=272,', 'Right=725,', 'Bottom=471']]
93 [['car: 98%', 'Left=375,', 'Top=346,', 'Right=574,', 'Bottom=532'], ['bus: 87%', 'Left=576,', 'Top=272,', 'Right=723,', 'Bottom=470']]
94 [['car: 97%', 'Left=376,', 'Top=347,', 'Right=573,', 'Bottom=532'], ['bus: 92%', 'Left=575,', 'Top=272,', 'Right=722,', 'Bottom=470']]
95 [['car: 95%', 'Left=376,', 'Top=347,', 'Right=573,', 'Bottom=531'], ['bus: 93%', 'Left=575,', 'Top=271,', 'Right=722,', 'Bottom=469']]
96 [['car: 92%', 'Left=378,', 'Top=346,', 'Right=570,', 'Bottom=530'], ['bus: 95%', 'Left=574,', 'Top=268,', 'Right=721,', 'Bottom=469']]
97 [['car: 91%', 'Left=379,', 'Top=347,', 'Right=569,', 'Bottom=530'], ['bus: 95%', 'Left=573,', 'Top=268,', 'Right=722,', 'Bottom=469']]
98 [['car: 88%', 'Left=380,', 'Top=347,', 'Right=568,', 'Bottom=529'], ['bus: 97%', 'Left=571,', 'Top=266,', 'Right=722,', 'Bottom=469']]
99 [['car: 84%', 'Left=381,', 'Top=345,', 'Right=569,', 'Bottom=529'], ['bus: 97%', 'Left=569,', 'Top=265,', 'Right=723,', 'Bottom=470']]
100 [['car: 85%', 'Left=383,', 'Top=344,', 'Right=571,', 'Bottom=529'], ['bus: 98%', 'Left=567,', 'Top=262,', 'Right=722,', 'Bottom=471']]
