1 []
2 []
3 [['car: 91%', 'Left=629,', 'Top=385,', 'Right=719,', 'Bottom=450'], ['car: 97%', 'Left=711,', 'Top=392,', 'Right=803,', 'Bottom=452']]
22 [['car: 95%', 'Left=628,', 'Top=383,', 'Right=725,', 'Bottom=452'], ['car: 98%', 'Left=724,', 'Top=395,', 'Right=806,', 'Bottom=454']]
23 [['car: 95%', 'Left=628,', 'Top=383,', 'Right=726,', 'Bottom=452'], ['car: 98%', 'Left=724,', 'Top=395,', 'Right=806,', 'Bottom=454']]
24 [['car: 94%', 'Left=627,', 'Top=384,', 'Right=725,', 'Bottom=452'], ['car: 98%', 'Left=724,', 'Top=396,', 'Right=805,', 'Bottom=454']]
25 [['car: 93%', 'Left=626,', 'Top=384,', 'Right=725,', 'Bottom=452'], ['car: 98%', 'Left=724,', 'Top=395,', 'Right=806,', 'Bottom=454']]
26 [['car: 95%', 'Left=625,', 'Top=383,', 'Right=725,', 'Bottom=452'], ['car: 99%', 'Left=724,', 'Top=394,', 'Right=807,', 'Bottom=454']]
27 [['car: 97%', 'Left=625,', 'Top=383,', 'Right=725,', 'Bottom=453'], ['car: 99%', 'Left=723,', 'Top=393,', 'Right=807,', 'Bottom=454']]
28 [['car: 98%', 'Left=625,', 'Top=382,', 'Right=725,', 'Bottom=453'], ['car: 99%', 'Left=723,', 'Top=393,', 'Right=807,', 'Bottom=454']]
29 [['car: 98%', 'Left=625,', 'Top=382,', 'Right=725,', 'Bottom=454'], ['car: 99%', 'Left=723,', 'Top=394,', 'Right=807,', 'Bottom=454']]
30 [['car: 98%', 'Left=625,', 'Top=382,', 'Right=725,', 'Bottom=454'], ['car: 99%', 'Left=723,', 'Top=394,', 'Right=807,', 'Bottom=454']]
31 [['car: 98%', 'Left=624,', 'Top=381,', 'Right=724,', 'Bottom=454'], ['car: 99%', 'Left=724,', 'Top=395,', 'Right=807,', 'Bottom=454']]
32 [['car: 99%', 'Left=624,', 'Top=381,', 'Right=723,', 'Bottom=455'], ['car: 99%', 'Left=724,', 'Top=396,', 'Right=806,', 'Bottom=455']]
33 [['car: 98%', 'Left=623,', 'Top=381,', 'Right=722,', 'Bottom=456'], ['car: 99%', 'Left=723,', 'Top=397,', 'Right=806,', 'Bottom=455']]
34 [['car: 98%', 'Left=623,', 'Top=381,', 'Right=722,', 'Bottom=456'], ['car: 99%', 'Left=723,', 'Top=398,', 'Right=806,', 'Bottom=455']]
35 [['car: 98%', 'Left=622,', 'Top=382,', 'Right=723,', 'Bottom=456'], ['car: 99%', 'Left=723,', 'Top=398,', 'Right=806,', 'Bottom=456']]
36 [['car: 97%', 'Left=622,', 'Top=383,', 'Right=722,', 'Bottom=457'], ['car: 99%', 'Left=723,', 'Top=398,', 'Right=806,', 'Bottom=456']]
37 [['car: 97%', 'Left=622,', 'Top=384,', 'Right=722,', 'Bottom=458'], ['car: 99%', 'Left=724,', 'Top=397,', 'Right=805,', 'Bottom=457']]
38 [['car: 97%', 'Left=623,', 'Top=384,', 'Right=722,', 'Bottom=459'], ['car: 99%', 'Left=724,', 'Top=397,', 'Right=805,', 'Bottom=457']]
39 [['car: 98%', 'Left=622,', 'Top=384,', 'Right=723,', 'Bottom=461'], ['car: 99%', 'Left=725,', 'Top=397,', 'Right=805,', 'Bottom=457']]
40 [['car: 98%', 'Left=622,', 'Top=384,', 'Right=724,', 'Bottom=462'], ['car: 99%', 'Left=725,', 'Top=398,', 'Right=805,', 'Bottom=457']]
41 [['car: 98%', 'Left=622,', 'Top=384,', 'Right=725,', 'Bottom=462'], ['car: 99%', 'Left=725,', 'Top=398,', 'Right=805,', 'Bottom=457']]
42 [['car: 99%', 'Left=621,', 'Top=384,', 'Right=726,', 'Bottom=462'], ['car: 99%', 'Left=724,', 'Top=398,', 'Right=805,', 'Bottom=457']]
43 [['car: 99%', 'Left=620,', 'Top=384,', 'Right=726,', 'Bottom=463'], ['car: 99%', 'Left=724,', 'Top=397,', 'Right=805,', 'Bottom=457']]
44 [['car: 99%', 'Left=619,', 'Top=383,', 'Right=724,', 'Bottom=463'], ['car: 99%', 'Left=724,', 'Top=397,', 'Right=805,', 'Bottom=456']]
45 [['car: 99%', 'Left=618,', 'Top=383,', 'Right=722,', 'Bottom=463'], ['car: 99%', 'Left=723,', 'Top=396,', 'Right=806,', 'Bottom=456']]
46 [['car: 99%', 'Left=618,', 'Top=383,', 'Right=722,', 'Bottom=463'], ['car: 99%', 'Left=723,', 'Top=395,', 'Right=806,', 'Bottom=456']]
47 [['car: 99%', 'Left=618,', 'Top=383,', 'Right=721,', 'Bottom=464'], ['car: 99%', 'Left=723,', 'Top=395,', 'Right=806,', 'Bottom=456']]
48 [['car: 99%', 'Left=618,', 'Top=383,', 'Right=722,', 'Bottom=464'], ['car: 99%', 'Left=723,', 'Top=395,', 'Right=806,', 'Bottom=456']]
49 [['car: 99%', 'Left=618,', 'Top=383,', 'Right=722,', 'Bottom=465'], ['car: 99%', 'Left=723,', 'Top=395,', 'Right=806,', 'Bottom=457']]
50 [['car: 98%', 'Left=617,', 'Top=385,', 'Right=721,', 'Bottom=466'], ['car: 99%', 'Left=723,', 'Top=395,', 'Right=806,', 'Bottom=457']]
51 [['car: 98%', 'Left=616,', 'Top=385,', 'Right=721,', 'Bottom=467'], ['car: 99%', 'Left=723,', 'Top=396,', 'Right=806,', 'Bottom=458']]
52 [['car: 97%', 'Left=615,', 'Top=386,', 'Right=720,', 'Bottom=468'], ['car: 99%', 'Left=722,', 'Top=396,', 'Right=806,', 'Bottom=459']]
53 [['car: 97%', 'Left=615,', 'Top=386,', 'Right=720,', 'Bottom=468'], ['car: 99%', 'Left=722,', 'Top=396,', 'Right=806,', 'Bottom=459']]
54 [['car: 97%', 'Left=615,', 'Top=386,', 'Right=721,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=396,', 'Right=807,', 'Bottom=460']]
55 [['car: 98%', 'Left=614,', 'Top=385,', 'Right=722,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=395,', 'Right=807,', 'Bottom=461']]
56 [['car: 98%', 'Left=614,', 'Top=385,', 'Right=723,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=395,', 'Right=807,', 'Bottom=462']]
57 [['car: 98%', 'Left=613,', 'Top=385,', 'Right=723,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=395,', 'Right=807,', 'Bottom=462']]
58 [['car: 98%', 'Left=613,', 'Top=384,', 'Right=723,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=395,', 'Right=807,', 'Bottom=463']]
59 [['car: 98%', 'Left=613,', 'Top=383,', 'Right=722,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=394,', 'Right=807,', 'Bottom=463']]
60 [['car: 98%', 'Left=613,', 'Top=382,', 'Right=721,', 'Bottom=469'], ['car: 99%', 'Left=721,', 'Top=394,', 'Right=808,', 'Bottom=464']]
61 [['car: 97%', 'Left=613,', 'Top=381,', 'Right=721,', 'Bottom=470'], ['car: 98%', 'Left=721,', 'Top=393,', 'Right=808,', 'Bottom=465']]
62 [['car: 97%', 'Left=610,', 'Top=382,', 'Right=714,', 'Bottom=471'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=808,', 'Bottom=466']]
63 [['car: 97%', 'Left=608,', 'Top=383,', 'Right=715,', 'Bottom=471'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=809,', 'Bottom=466']]
64 [['car: 97%', 'Left=606,', 'Top=383,', 'Right=716,', 'Bottom=471'], ['car: 98%', 'Left=719,', 'Top=390,', 'Right=811,', 'Bottom=466']]
65 [['car: 98%', 'Left=605,', 'Top=383,', 'Right=716,', 'Bottom=471'], ['car: 98%', 'Left=719,', 'Top=390,', 'Right=811,', 'Bottom=465']]
66 [['car: 98%', 'Left=604,', 'Top=383,', 'Right=717,', 'Bottom=472'], ['car: 99%', 'Left=718,', 'Top=390,', 'Right=812,', 'Bottom=466']]
67 [['car: 98%', 'Left=603,', 'Top=383,', 'Right=718,', 'Bottom=473'], ['car: 99%', 'Left=718,', 'Top=391,', 'Right=812,', 'Bottom=466']]
68 [['car: 99%', 'Left=601,', 'Top=383,', 'Right=718,', 'Bottom=472'], ['car: 99%', 'Left=718,', 'Top=390,', 'Right=812,', 'Bottom=466']]
69 [['car: 99%', 'Left=600,', 'Top=382,', 'Right=718,', 'Bottom=472'], ['car: 99%', 'Left=717,', 'Top=391,', 'Right=812,', 'Bottom=466']]
70 [['car: 99%', 'Left=600,', 'Top=381,', 'Right=717,', 'Bottom=472'], ['car: 99%', 'Left=717,', 'Top=391,', 'Right=813,', 'Bottom=467']]
71 [['car: 99%', 'Left=600,', 'Top=379,', 'Right=716,', 'Bottom=473'], ['car: 99%', 'Left=717,', 'Top=392,', 'Right=813,', 'Bottom=467']]
72 [['car: 99%', 'Left=598,', 'Top=379,', 'Right=716,', 'Bottom=474'], ['car: 99%', 'Left=717,', 'Top=392,', 'Right=813,', 'Bottom=467']]
73 [['car: 99%', 'Left=597,', 'Top=379,', 'Right=715,', 'Bottom=474'], ['car: 99%', 'Left=718,', 'Top=392,', 'Right=813,', 'Bottom=467']]
74 [['car: 99%', 'Left=595,', 'Top=380,', 'Right=715,', 'Bottom=474'], ['car: 99%', 'Left=718,', 'Top=392,', 'Right=813,', 'Bottom=467']]
75 [['car: 99%', 'Left=594,', 'Top=380,', 'Right=716,', 'Bottom=475'], ['car: 99%', 'Left=719,', 'Top=391,', 'Right=814,', 'Bottom=468']]
76 [['car: 99%', 'Left=592,', 'Top=380,', 'Right=717,', 'Bottom=475'], ['car: 99%', 'Left=719,', 'Top=391,', 'Right=814,', 'Bottom=469']]
77 [['car: 99%', 'Left=591,', 'Top=380,', 'Right=718,', 'Bottom=475'], ['car: 99%', 'Left=719,', 'Top=391,', 'Right=814,', 'Bottom=469']]
78 [['car: 99%', 'Left=590,', 'Top=380,', 'Right=718,', 'Bottom=475'], ['car: 99%', 'Left=720,', 'Top=391,', 'Right=814,', 'Bottom=469']]
79 [['car: 99%', 'Left=590,', 'Top=380,', 'Right=718,', 'Bottom=475'], ['car: 98%', 'Left=720,', 'Top=391,', 'Right=814,', 'Bottom=470']]
80 [['car: 99%', 'Left=589,', 'Top=379,', 'Right=717,', 'Bottom=475'], ['car: 98%', 'Left=720,', 'Top=391,', 'Right=815,', 'Bottom=470']]
81 [['car: 98%', 'Left=588,', 'Top=379,', 'Right=716,', 'Bottom=476'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=815,', 'Bottom=470']]
82 [['car: 97%', 'Left=587,', 'Top=379,', 'Right=716,', 'Bottom=476'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=816,', 'Bottom=470']]
83 [['car: 98%', 'Left=586,', 'Top=378,', 'Right=716,', 'Bottom=476'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=817,', 'Bottom=470']]
84 [['car: 97%', 'Left=586,', 'Top=378,', 'Right=717,', 'Bottom=477'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=818,', 'Bottom=471']]
85 [['car: 97%', 'Left=584,', 'Top=378,', 'Right=718,', 'Bottom=477'], ['car: 98%', 'Left=721,', 'Top=391,', 'Right=819,', 'Bottom=471']]
86 [['car: 97%', 'Left=583,', 'Top=378,', 'Right=719,', 'Bottom=477'], ['car: 98%', 'Left=720,', 'Top=390,', 'Right=819,', 'Bottom=471']]
87 [['car: 97%', 'Left=582,', 'Top=377,', 'Right=719,', 'Bottom=477'], ['car: 98%', 'Left=720,', 'Top=390,', 'Right=819,', 'Bottom=471']]
88 [['car: 98%', 'Left=582,', 'Top=376,', 'Right=720,', 'Bottom=478'], ['car: 98%', 'Left=720,', 'Top=390,', 'Right=819,', 'Bottom=471']]
89 [['car: 98%', 'Left=581,', 'Top=376,', 'Right=720,', 'Bottom=478'], ['car: 97%', 'Left=719,', 'Top=390,', 'Right=820,', 'Bottom=472']]
90 [['car: 98%', 'Left=581,', 'Top=376,', 'Right=720,', 'Bottom=478'], ['car: 97%', 'Left=716,', 'Top=391,', 'Right=822,', 'Bottom=479']]
91 [['car: 98%', 'Left=581,', 'Top=376,', 'Right=720,', 'Bottom=478'], ['car: 97%', 'Left=715,', 'Top=391,', 'Right=822,', 'Bottom=479']]
92 [['car: 97%', 'Left=580,', 'Top=376,', 'Right=720,', 'Bottom=478'], ['car: 97%', 'Left=715,', 'Top=391,', 'Right=823,', 'Bottom=479']]
93 [['car: 97%', 'Left=580,', 'Top=376,', 'Right=719,', 'Bottom=478'], ['car: 97%', 'Left=715,', 'Top=391,', 'Right=823,', 'Bottom=479']]
94 [['car: 99%', 'Left=580,', 'Top=375,', 'Right=718,', 'Bottom=478'], ['car: 97%', 'Left=714,', 'Top=392,', 'Right=823,', 'Bottom=479']]
95 [['car: 99%', 'Left=579,', 'Top=375,', 'Right=718,', 'Bottom=478'], ['car: 97%', 'Left=714,', 'Top=392,', 'Right=823,', 'Bottom=479']]
96 [['car: 99%', 'Left=579,', 'Top=375,', 'Right=717,', 'Bottom=479'], ['car: 97%', 'Left=714,', 'Top=392,', 'Right=823,', 'Bottom=479']]
97 [['car: 99%', 'Left=579,', 'Top=375,', 'Right=717,', 'Bottom=479'], ['car: 98%', 'Left=714,', 'Top=392,', 'Right=823,', 'Bottom=479']]
98 [['car: 99%', 'Left=578,', 'Top=375,', 'Right=717,', 'Bottom=479'], ['car: 98%', 'Left=714,', 'Top=392,', 'Right=823,', 'Bottom=479']]
99 [['car: 99%', 'Left=578,', 'Top=374,', 'Right=716,', 'Bottom=479'], ['car: 98%', 'Left=713,', 'Top=392,', 'Right=823,', 'Bottom=479']]
100 [['car: 99%', 'Left=577,', 'Top=374,', 'Right=716,', 'Bottom=479'], ['car: 98%', 'Left=713,', 'Top=392,', 'Right=823,', 'Bottom=479']]
