1 []
2 []
3 [['car: 98%', 'Left=477,', 'Top=353,', 'Right=540,', 'Bottom=404'], ['car: 74%', 'Left=0,', 'Top=486,', 'Right=1279,', 'Bottom=701'], ['truck: 53%', 'Left=1096,', 'Top=308,', 'Right=1227,', 'Bottom=369']]
4 [['car: 97%', 'Left=474,', 'Top=352,', 'Right=538,', 'Bottom=404'], ['truck: 67%', 'Left=1097,', 'Top=307,', 'Right=1235,', 'Bottom=370'], ['car: 70%', 'Left=0,', 'Top=541,', 'Right=1279,', 'Bottom=704']]
5 [['car: 97%', 'Left=473,', 'Top=352,', 'Right=537,', 'Bottom=405'], ['truck: 72%', 'Left=1099,', 'Top=307,', 'Right=1240,', 'Bottom=370'], ['car: 70%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=704']]
6 [['car: 96%', 'Left=472,', 'Top=351,', 'Right=536,', 'Bottom=405'], ['truck: 67%', 'Left=1104,', 'Top=307,', 'Right=1244,', 'Bottom=370'], ['car: 72%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=704']]
7 [['car: 95%', 'Left=471,', 'Top=351,', 'Right=535,', 'Bottom=405'], ['car: 76%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=705'], ['truck: 51%', 'Left=1107,', 'Top=306,', 'Right=1245,', 'Bottom=371'], ['car: 59%', 'Left=531,', 'Top=349,', 'Right=573,', 'Bottom=375']]
8 [['car: 96%', 'Left=469,', 'Top=351,', 'Right=533,', 'Bottom=405'], ['car: 78%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=706'], ['car: 68%', 'Left=529,', 'Top=349,', 'Right=575,', 'Bottom=377']]
9 [['car: 97%', 'Left=467,', 'Top=352,', 'Right=531,', 'Bottom=405'], ['car: 77%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=707'], ['car: 61%', 'Left=527,', 'Top=350,', 'Right=576,', 'Bottom=377']]
10 [['car: 97%', 'Left=465,', 'Top=353,', 'Right=529,', 'Bottom=406'], ['car: 74%', 'Left=0,', 'Top=544,', 'Right=1279,', 'Bottom=706'], ['car: 51%', 'Left=525,', 'Top=350,', 'Right=576,', 'Bottom=378']]
11 [['car: 98%', 'Left=463,', 'Top=354,', 'Right=528,', 'Bottom=406'], ['car: 72%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=707']]
51 [['car: 76%', 'Left=469,', 'Top=363,', 'Right=527,', 'Bottom=419'], ['car: 63%', 'Left=400,', 'Top=378,', 'Right=427,', 'Bottom=397']]
52 [['car: 71%', 'Left=470,', 'Top=365,', 'Right=529,', 'Bottom=420'], ['car: 62%', 'Left=402,', 'Top=379,', 'Right=429,', 'Bottom=398']]
53 [['car: 71%', 'Left=472,', 'Top=363,', 'Right=530,', 'Bottom=418'], ['car: 66%', 'Left=404,', 'Top=375,', 'Right=439,', 'Bottom=400']]
54 [['car: 77%', 'Left=473,', 'Top=360,', 'Right=532,', 'Bottom=416'], ['car: 53%', 'Left=404,', 'Top=367,', 'Right=441,', 'Bottom=395']]
55 [['car: 81%', 'Left=406,', 'Top=362,', 'Right=443,', 'Bottom=392'], ['car: 67%', 'Left=474,', 'Top=356,', 'Right=533,', 'Bottom=406']]
56 [['car: 87%', 'Left=409,', 'Top=357,', 'Right=445,', 'Bottom=388'], ['car: 84%', 'Left=474,', 'Top=351,', 'Right=535,', 'Bottom=403']]
57 [['car: 88%', 'Left=474,', 'Top=346,', 'Right=536,', 'Bottom=400'], ['car: 86%', 'Left=411,', 'Top=352,', 'Right=447,', 'Bottom=383']]
58 [['car: 80%', 'Left=475,', 'Top=342,', 'Right=536,', 'Bottom=397'], ['car: 84%', 'Left=413,', 'Top=349,', 'Right=451,', 'Bottom=380']]
59 [['car: 74%', 'Left=475,', 'Top=340,', 'Right=536,', 'Bottom=397'], ['car: 79%', 'Left=414,', 'Top=348,', 'Right=453,', 'Bottom=379']]
60 [['car: 72%', 'Left=473,', 'Top=341,', 'Right=535,', 'Bottom=397'], ['car: 79%', 'Left=415,', 'Top=348,', 'Right=455,', 'Bottom=380']]
61 [['car: 75%', 'Left=415,', 'Top=348,', 'Right=456,', 'Bottom=381'], ['car: 76%', 'Left=473,', 'Top=342,', 'Right=535,', 'Bottom=397']]
62 [['car: 77%', 'Left=415,', 'Top=351,', 'Right=456,', 'Bottom=385'], ['car: 79%', 'Left=472,', 'Top=346,', 'Right=534,', 'Bottom=401']]
63 [['car: 79%', 'Left=414,', 'Top=354,', 'Right=456,', 'Bottom=389'], ['car: 82%', 'Left=471,', 'Top=350,', 'Right=532,', 'Bottom=404']]
64 [['car: 88%', 'Left=470,', 'Top=353,', 'Right=531,', 'Bottom=408'], ['car: 87%', 'Left=414,', 'Top=357,', 'Right=457,', 'Bottom=391']]
65 [['car: 93%', 'Left=469,', 'Top=353,', 'Right=530,', 'Bottom=409'], ['car: 89%', 'Left=414,', 'Top=357,', 'Right=459,', 'Bottom=392']]
66 [['car: 92%', 'Left=468,', 'Top=352,', 'Right=530,', 'Bottom=408'], ['car: 89%', 'Left=414,', 'Top=356,', 'Right=461,', 'Bottom=391']]
67 [['car: 88%', 'Left=466,', 'Top=348,', 'Right=529,', 'Bottom=405'], ['car: 85%', 'Left=414,', 'Top=353,', 'Right=463,', 'Bottom=390']]
68 [['car: 84%', 'Left=466,', 'Top=344,', 'Right=530,', 'Bottom=401'], ['car: 79%', 'Left=414,', 'Top=348,', 'Right=464,', 'Bottom=387']]
69 [['car: 81%', 'Left=467,', 'Top=341,', 'Right=530,', 'Bottom=398'], ['truck: 52%', 'Left=414,', 'Top=344,', 'Right=464,', 'Bottom=386']]
70 [['car: 77%', 'Left=468,', 'Top=336,', 'Right=531,', 'Bottom=396'], ['car: 51%', 'Left=417,', 'Top=343,', 'Right=461,', 'Bottom=383']]
71 [['car: 73%', 'Left=470,', 'Top=333,', 'Right=533,', 'Bottom=394'], ['car: 51%', 'Left=424,', 'Top=339,', 'Right=468,', 'Bottom=374']]
72 [['truck: 53%', 'Left=473,', 'Top=327,', 'Right=532,', 'Bottom=386'], ['car: 85%', 'Left=420,', 'Top=337,', 'Right=473,', 'Bottom=376']]
73 [['truck: 55%', 'Left=473,', 'Top=327,', 'Right=533,', 'Bottom=385'], ['car: 85%', 'Left=420,', 'Top=336,', 'Right=475,', 'Bottom=375']]
74 [['truck: 52%', 'Left=474,', 'Top=327,', 'Right=534,', 'Bottom=384'], ['car: 76%', 'Left=421,', 'Top=336,', 'Right=476,', 'Bottom=374']]
75 [['car: 63%', 'Left=474,', 'Top=334,', 'Right=536,', 'Bottom=391'], ['car: 68%', 'Left=422,', 'Top=335,', 'Right=479,', 'Bottom=387']]
76 [['car: 68%', 'Left=423,', 'Top=336,', 'Right=481,', 'Bottom=388'], ['car: 68%', 'Left=475,', 'Top=336,', 'Right=537,', 'Bottom=392']]
77 [['car: 71%', 'Left=478,', 'Top=337,', 'Right=540,', 'Bottom=395'], ['car: 68%', 'Left=424,', 'Top=339,', 'Right=482,', 'Bottom=391']]
78 [['car: 75%', 'Left=480,', 'Top=339,', 'Right=542,', 'Bottom=397'], ['car: 58%', 'Left=426,', 'Top=341,', 'Right=484,', 'Bottom=394']]
79 [['truck: 51%', 'Left=483,', 'Top=339,', 'Right=544,', 'Bottom=399']]
80 []
81 []
82 [['car: 58%', 'Left=431,', 'Top=343,', 'Right=493,', 'Bottom=396'], ['car: 64%', 'Left=494,', 'Top=343,', 'Right=556,', 'Bottom=398']]
83 [['car: 71%', 'Left=432,', 'Top=341,', 'Right=495,', 'Bottom=397'], ['car: 78%', 'Left=498,', 'Top=342,', 'Right=562,', 'Bottom=398']]
84 [['car: 81%', 'Left=433,', 'Top=339,', 'Right=496,', 'Bottom=397'], ['car: 85%', 'Left=503,', 'Top=340,', 'Right=566,', 'Bottom=397']]
85 [['car: 86%', 'Left=505,', 'Top=339,', 'Right=568,', 'Bottom=398'], ['car: 84%', 'Left=433,', 'Top=337,', 'Right=496,', 'Bottom=398']]
86 [['car: 88%', 'Left=434,', 'Top=342,', 'Right=504,', 'Bottom=398'], ['car: 88%', 'Left=507,', 'Top=338,', 'Right=569,', 'Bottom=398']]
87 [['car: 85%', 'Left=437,', 'Top=341,', 'Right=503,', 'Bottom=401'], ['car: 94%', 'Left=510,', 'Top=342,', 'Right=576,', 'Bottom=399']]
88 [['car: 86%', 'Left=436,', 'Top=343,', 'Right=506,', 'Bottom=406'], ['car: 95%', 'Left=509,', 'Top=344,', 'Right=577,', 'Bottom=402']]
89 [['car: 87%', 'Left=436,', 'Top=345,', 'Right=508,', 'Bottom=409'], ['car: 94%', 'Left=509,', 'Top=346,', 'Right=577,', 'Bottom=403']]
90 [['car: 85%', 'Left=437,', 'Top=346,', 'Right=510,', 'Bottom=413'], ['car: 93%', 'Left=510,', 'Top=348,', 'Right=577,', 'Bottom=405']]
91 [['car: 86%', 'Left=437,', 'Top=346,', 'Right=513,', 'Bottom=415'], ['car: 95%', 'Left=511,', 'Top=350,', 'Right=577,', 'Bottom=406']]
92 [['car: 87%', 'Left=437,', 'Top=346,', 'Right=516,', 'Bottom=417'], ['car: 96%', 'Left=512,', 'Top=351,', 'Right=578,', 'Bottom=407']]
93 [['car: 94%', 'Left=440,', 'Top=351,', 'Right=518,', 'Bottom=421'], ['car: 95%', 'Left=513,', 'Top=351,', 'Right=578,', 'Bottom=406']]
94 [['car: 93%', 'Left=441,', 'Top=351,', 'Right=520,', 'Bottom=421'], ['car: 94%', 'Left=514,', 'Top=350,', 'Right=579,', 'Bottom=405']]
95 [['car: 93%', 'Left=441,', 'Top=351,', 'Right=522,', 'Bottom=421'], ['car: 93%', 'Left=515,', 'Top=349,', 'Right=580,', 'Bottom=405']]
96 [['car: 93%', 'Left=439,', 'Top=347,', 'Right=522,', 'Bottom=417'], ['car: 94%', 'Left=515,', 'Top=348,', 'Right=581,', 'Bottom=403']]
97 [['car: 93%', 'Left=439,', 'Top=346,', 'Right=524,', 'Bottom=418'], ['car: 93%', 'Left=515,', 'Top=346,', 'Right=581,', 'Bottom=402']]
98 [['car: 94%', 'Left=439,', 'Top=345,', 'Right=524,', 'Bottom=418'], ['car: 95%', 'Left=515,', 'Top=345,', 'Right=582,', 'Bottom=401']]
99 [['car: 92%', 'Left=438,', 'Top=345,', 'Right=525,', 'Bottom=418'], ['car: 93%', 'Left=515,', 'Top=345,', 'Right=582,', 'Bottom=401']]
100 [['car: 90%', 'Left=438,', 'Top=344,', 'Right=526,', 'Bottom=419'], ['car: 94%', 'Left=516,', 'Top=345,', 'Right=583,', 'Bottom=401']]
